,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction
YBR169C,16,2.0,36.0
YLR005W,13,15.0,146.0
YDR311W,21,65.0,215.0
YNL025C,27,116.0,153.0
YGL022W,12,19.0,212.0
YPR086W,28,,28.0
YBR143C,30,1.0,41.0
YML098W,29,45.0,193.0
YDR167W,44,52.0,171.0
YMR028W,13,73.0,193.0
YBR069C,11,,7.0
YBR118W,8,15.0,74.0
YKL081W,18,6.0,46.0
YDL080C,4,,19.0
YJL138C,22,21.0,72.0
YBR117C,1,11.0,62.0
YOR194C,7,6.0,116.0
YNL088W,23,14.0,125.0
YBR162C,4,3.0,31.0
YPL203W,85,7.0,46.0
YBR126C,19,8.0,62.0
YER090W,3,11.0,88.0
YCR042C,28,,
YLR212C,13,17.0,85.0
YPR066W,3,36.0,66.0
YBR058C,13,15.0,98.0
YMR304W,91,6.0,11.0
YBR127C,12,3.0,13.0
YGR020C,9,,9.0
YEL051W,13,124.0,218.0
YNR006W,9,29.0,314.0
YHL002W,48,31.0,169.0
YHR012W,8,47.0,156.0
YPR173C,23,7.0,99.0
YGL095C,8,4.0,110.0
YJL029C,5,,8.0
YLR337C,11,45.0,212.0
YEL002C,9,79.0,341.0
YAL019W,15,4.0,35.0
YAL027W,30,,5.0
YAL034C,7,31.0,67.0
YAL053W,5,4.0,50.0
YAL061W,2,22.0,82.0
YAR003W,14,55.0,204.0
YBL032W,30,1.0,5.0
YBL051C,4,19.0,119.0
YBL064C,9,2.0,15.0
YBR101C,15,7.0,76.0
YBR175W,21,19.0,117.0
YBR216C,2,11.0,57.0
YBR225W,4,,9.0
YBR238C,2,23.0,125.0
YBR287W,6,4.0,26.0
YCR072C,28,10.0,41.0
YNL207W,114,20.0,77.0
YDL100C,32,25.0,178.0
YDL219W,1,8.0,42.0
YDR196C,3,37.0,167.0
YDR430C,6,,32.0
YER007C-A,7,1.0,29.0
YJR014W,4,1.0,30.0
YHL021C,4,,51.0
YJL060W,2,4.0,18.0
YKL095W,41,36.0,92.0
YMR284W,13,9.0,234.0
YLL013C,15,9.0,42.0
YML059C,2,3.0,55.0
YKL067W,14,15.0,66.0
YNL045W,7,10.0,25.0
YNL127W,18,2.0,89.0
YNR046W,51,,1.0
YOR164C,8,18.0,181.0
YOR356W,1,6.0,39.0
YMR273C,21,10.0,19.0
YGR285C,30,5.0,10.0
YDL220C,22,200.0,213.0
YPL204W,206,10.0,120.0
YOR386W,2,1.0,9.0
YJL020C,53,5.0,52.0
YNL090W,11,6.0,94.0
YBR059C,73,5.0,51.0
YDR200C,9,6.0,84.0
YFL038C,37,6.0,151.0
YOR089C,22,53.0,232.0
YBR264C,7,3.0,32.0
YHR197W,82,42.0,95.0
YER133W,138,24.0,114.0
YMR311C,4,21.0,55.0
YNL113W,25,45.0,204.0
YDR266C,12,6.0,15.0
YGL087C,9,6.0,36.0
YDR092W,16,3.0,45.0
YOR043W,6,15.0,178.0
YCR008W,54,19.0,32.0
YOR276W,479,4.0,5.0
YMR001C,129,2.0,6.0
YFR040W,13,11.0,115.0
YGL081W,10,2.0,17.0
YPL179W,2,7.0,45.0
YJL164C,313,2.0,44.0
YKL166C,103,17.0,53.0
YBR109C,78,74.0,577.0
YML057W,13,12.0,36.0
YJL141C,57,3.0,27.0
YNL094W,23,2.0,14.0
YDL192W,33,31.0,152.0
YDR523C,53,3.0,25.0
YKL210W,23,3.0,72.0
YDL025C,40,2.0,24.0
YNL116W,17,8.0,31.0
YNL035C,2,1.0,8.0
YMR055C,13,20.0,88.0
YGL163C,10,19.0,80.0
YDR129C,17,23.0,162.0
YNL312W,22,68.0,227.0
YKL190W,6,2.0,55.0
YBL088C,21,3.0,14.0
YPL022W,34,16.0,27.0
YJR090C,51,,
YJL128C,33,31.0,191.0
YBL021C,4,25.0,159.0
YLR291C,206,17.0,109.0
YGR083C,9,4.0,86.0
YOR319W,17,16.0,149.0
YNL180C,4,,15.0
YKR036C,23,5.0,45.0
YPL150W,42,5.0,83.0
YHR135C,350,2.0,12.0
YDR388W,101,28.0,172.0
YCR009C,26,51.0,146.0
YCL039W,58,,2.0
YGR054W,18,,29.0
YIL131C,37,15.0,10.0
YDR436W,8,3.0,21.0
YDR480W,14,7.0,10.0
YGR040W,122,2.0,21.0
YGL174W,4,41.0,172.0
YDR313C,11,3.0,29.0
YCR002C,16,40.0,230.0
YJR076C,41,61.0,459.0
YHR107C,28,24.0,249.0
YJL092W,124,23.0,103.0
YNL311C,14,3.0,67.0
YMR116C,507,24.0,63.0
YLR293C,352,2.0,4.0
YBR274W,46,1.0,53.0
