,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction
YER009W,3,77.0,309.0
YIL115C,29,7.0,3.0
YNL289W,28,3.0,20.0
YGL053W,4,2.0,32.0
YGL097W,27,43.0,182.0
YER070W,7,,152.0
YML043C,11,5.0,50.0
YDR159W,58,43.0,152.0
YPL218W,16,,
YOR329C,5,,15.0
YLR268W,42,89.0,418.0
YER118C,85,1.0,107.0
YOL031C,2,8.0,36.0
YKR101W,10,1.0,9.0
YOR109W,9,18.0,109.0
YLR452C,26,5.0,64.0
YJL004C,3,19.0,206.0
YKR062W,16,44.0,106.0
YKL034W,15,11.0,37.0
YLL039C,78,6.0,92.0
YPR036W,8,73.0,289.0
YML007W,33,2.0,56.0
YPR028W,14,2.0,10.0
YKR014C,19,4.0,30.0
YNL297C,4,87.0,287.0
YPL057C,1,58.0,343.0
YBR161W,1,6.0,94.0
YNL264C,6,,65.0
YIL016W,41,7.0,58.0
YJR099W,6,4.0,22.0
YGR101W,2,7.0,29.0
YER155C,7,58.0,217.0
YKL092C,4,1.0,8.0
YDL226C,14,7.0,56.0
YOR070C,6,39.0,257.0
YNR026C,3,97.0,316.0
YNL272C,39,69.0,211.0
YPR095C,4,12.0,42.0
YML097C,10,30.0,192.0
YLL017W,4,1.0,13.0
YLR014C,1,6.0,35.0
YFR050C,21,24.0,188.0
YOR157C,18,36.0,143.0
YKL015W,1,8.0,50.0
YKL058W,9,,
YDL235C,4,31.0,15.0
YJL019W,327,,
YML051W,38,4.0,70.0
YKL112W,6,49.0,200.0
YOR358W,4,14.0,179.0
YMR043W,17,,
YDL106C,25,4.0,58.0
YDL102W,3,46.0,263.0
YBR024W,2,1.0,26.0
YJR104C,5,4.0,43.0
YLR131C,14,10.0,75.0
YNL039W,11,,33.0
YIL159W,28,16.0,37.0
YMR180C,1,4.0,25.0
YBR233W-A,8,,
YML012W,24,13.0,164.0
YJL085W,13,31.0,252.0
YLR377C,32,8.0,12.0
YHR061C,25,,9.0
YDL207W,38,34.0,162.0
YFL031W,5,30.0,161.0
YLR192C,17,7.0,38.0
YBR034C,141,44.0,120.0
YDR171W,29,,
YJR050W,7,17.0,104.0
YGL016W,11,35.0,93.0
YIR033W,4,58.0,198.0
YGL075C,46,,
YNR049C,8,7.0,41.0
YOR156C,93,,35.0
YOL043C,3,5.0,46.0
YHL020C,10,23.0,118.0
YLR191W,57,8.0,41.0
YHR160C,6,1.0,47.0
YGR239C,7,2.0,51.0
YGL205W,1,6.0,65.0
YDL030W,26,1.0,60.0
YIL118W,8,1.0,57.0
YOR095C,2,13.0,72.0
YOR151C,46,,2.0
YIL075C,40,8.0,8.0
YLR166C,57,4.0,90.0
YDR166C,13,,50.0
YIL068C,12,,42.0
YKL006C-A,10,,
YIL104C,6,2.0,12.0
YJL127C,299,,8.0
YNL309W,3,6.0,70.0
YOR027W,15,12.0,85.0
YGL049C,16,9.0,25.0
YGR185C,12,5.0,109.0
YNL229C,11,17.0,180.0
YGL162W,4,3.0,45.0
YGR233C,8,,
YFL037W,17,63.0,261.0
YOR265W,4,2.0,69.0
YFL029C,10,29.0,16.0
YNR031C,18,16.0,103.0
YPL085W,9,22.0,201.0
YLR079W,20,29.0,161.0
YPL254W,58,19.0,80.0
YDR173C,3,,5.0
YBR164C,10,26.0,198.0
YAL020C,2,1.0,68.0
YJL095W,125,34.0,245.0
YIL033C,58,48.0,198.0
YBL061C,11,4.0,85.0
YNL166C,7,8.0,40.0
YBL085W,58,2.0,28.0
YKR086W,37,37.0,231.0
YNR011C,49,9.0,136.0
YOR308C,58,12.0,103.0
YGR142W,42,1.0,6.0
YCL014W,20,1.0,1.0
YFL028C,5,1.0,25.0
YMR280C,8,4.0,42.0
YGL178W,7,8.0,70.0
YDR254W,24,6.0,112.0
YBR023C,11,2.0,94.0
YNL225C,24,,
YKL042W,27,51.0,198.0
YKL049C,318,190.0,273.0
YJR084W,11,8.0,45.0
YOL117W,32,1.0,6.0
YPL008W,9,11.0,159.0
YKR034W,10,,22.0
YER143W,20,1.0,14.0
YNL186W,104,10.0,43.0
YGR060W,7,30.0,166.0
YMR219W,90,1.0,40.0
YDR363W,11,42.0,94.0
YBR020W,3,14.0,43.0
YER027C,9,3.0,25.0
YJL125C,4,28.0,253.0
YPL075W,8,,
YJR031C,7,4.0,36.0
YDR309C,13,3.0,38.0
YDR192C,50,1.0,51.0
YGL121C,1,,28.0
YGL181W,42,1.0,3.0
YMR172W,29,3.0,22.0
YJR094C,3,3.0,18.0
YPL242C,13,8.0,43.0
YJL073W,6,1.0,27.0
YPR159W,12,,
YHR156C,6,2.0,61.0
YDL240W,1,1.0,54.0
YMR038C,3,10.0,53.0
YMR021C,10,3.0,65.0
YLR188W,2,5.0,81.0
YJR021C,10,19.0,26.0
YNL103W,13,,
YLR332W,36,2.0,62.0
YLR035C,4,10.0,31.0
YGL124C,12,12.0,109.0
YJR002W,21,1.0,17.0
YKL079W,93,1.0,41.0
YLR457C,12,,
YPL211W,19,3.0,98.0
YBL005W,3,4.0,9.0
YOR153W,16,,6.0
YLR067C,4,2.0,51.0
YNR045W,1,19.0,118.0
YGR222W,2,3.0,24.0
YOL147C,6,,17.0
YDR244W,16,1.0,39.0
YNL214W,6,3.0,71.0
YPL112C,4,2.0,25.0
YHR150W,3,,14.0
YBR168W,3,3.0,102.0
YDR479C,33,3.0,43.0
YOR122C,4,46.0,262.0
YNL221C,11,75.0,234.0
YBR257W,11,54.0,216.0
YGR030C,10,,7.0
YDR478W,5,18.0,157.0
YAL033W,7,12.0,97.0
YBL041W,15,76.0,189.0
YGR135W,22,33.0,131.0
YER013W,45,64.0,229.0
YEL015W,21,2.0,16.0
YER094C,2,10.0,120.0
YJL204C,10,,
YMR133W,5,2.0,9.0
YKL038W,6,3.0,37.0
YPL089C,7,2.0,24.0
YJL026W,10,4.0,7.0
YJL140W,48,20.0,19.0
YOR224C,17,11.0,82.0
YDR045C,16,5.0,124.0
YOR294W,11,2.0,30.0
YER021W,40,1.0,14.0
YDR427W,31,,
YFL036W,12,30.0,120.0
YOR259C,9,145.0,378.0
YHR031C,4,23.0,123.0
YLR292C,4,13.0,140.0
YAR008W,1,,3.0
YLR105C,3,2.0,50.0
YOR035C,7,18.0,228.0
YDR422C,6,1.0,53.0
YBR182C,13,8.0,66.0
YGL127C,22,26.0,184.0
YPL124W,9,9.0,142.0
YLR313C,5,1.0,27.0
YLR119W,8,58.0,245.0
YIL047C,3,2.0,28.0
YLR309C,26,2.0,27.0
YOR110W,12,,
YDR457W,540,18.0,159.0
YML085C,26,,
YEL013W,15,46.0,193.0
YOR008C,17,22.0,78.0
YDR135C,12,,25.0
YCR028C-A,7,3.0,48.0
YGR004W,2,1.0,40.0
YIR015W,10,,
YER005W,1,2.0,52.0
YGL210W,10,,16.0
YIR026C,25,8.0,29.0
YOR193W,1,1.0,22.0
YLR272C,5,29.0,163.0
YNL064C,22,93.0,257.0
YCL037C,15,8.0,27.0
YGR178C,16,10.0,44.0
YLR393W,23,12.0,118.0
YBL099W,14,,
YPL078C,16,14.0,42.0
YOL091W,35,2.0,20.0
YGL170C,1,4.0,61.0
YHL031C,18,2.0,72.0
YMR039C,10,14.0,145.0
YER114C,40,2.0,26.0
YNL293W,15,4.0,46.0
YOL112W,7,,25.0
YBL106C,9,2.0,38.0
YGR221C,2,2.0,17.0
YHR149C,6,,15.0
YOR101W,3,5.0,7.0
YCR059C,8,5.0,44.0
YCL027W,28,4.0,16.0
YLR330W,22,22.0,171.0
YGR140W,22,3.0,140.0
YER029C,101,,
YPL157W,5,38.0,143.0
YJR132W,12,2.0,
YIR038C,1,4.0,17.0
YLL060C,11,,10.0
YKL117W,112,,37.0
YMR042W,4,21.0,26.0
YML099C,4,7.0,39.0
YOL067C,2,47.0,164.0
YAL051W,11,1.0,5.0
YPL167C,13,,32.0
YLR178C,18,4.0,22.0
YLR399C,93,30.0,170.0
YLR141W,7,2.0,72.0
YDL020C,14,24.0,224.0
YJR032W,19,24.0,90.0
YDR118W,21,,
YCR097W,1,2.0,17.0
YCR039C,3,1.0,8.0
YGR217W,2,1.0,49.0
YMR260C,7,36.0,137.0
YNL188W,6,,
YNL085W,3,4.0,31.0
YIR008C,9,18.0,40.0
YDL227C,5,1.0,
YPR007C,14,10.0,49.0
YER106W,8,9.0,45.0
YLL026W,355,,1.0
YDR264C,9,12.0,113.0
YNL031C,504,12.0,40.0
YPR023C,17,37.0,150.0
YOL082W,17,12.0,14.0
YPR049C,46,3.0,83.0
YBL019W,9,1.0,20.0
YKL130C,12,,1.0
YPL116W,8,7.0,18.0
YMR048W,15,11.0,108.0
YOR367W,2,,8.0
YIR003W,6,2.0,46.0
YNL238W,6,34.0,111.0
YNL107W,54,21.0,94.0
YPR193C,8,5.0,61.0
YOL001W,14,44.0,93.0
YDL161W,7,16.0,109.0
YLR206W,5,4.0,46.0
YKL004W,5,53.0,289.0
YGL008C,5,47.0,607.0
YOR020C,2,92.0,188.0
YBL075C,11,4.0,37.0
YCL029C,58,4.0,38.0
YJL104W,12,43.0,126.0
YJR135W-A,2,3.0,81.0
YKR039W,31,7.0,20.0
YEL036C,12,165.0,468.0
YJR075W,10,15.0,252.0
YGL164C,1,,27.0
YNL027W,4,10.0,97.0
YPL046C,14,8.0,47.0
YGR100W,4,,15.0
YLR265C,34,11.0,32.0
YPL120W,63,26.0,161.0
YLR360W,5,45.0,138.0
YOR363C,2,2.0,10.0
YDL058W,7,48.0,195.0
YMR228W,12,,
YDL120W,14,13.0,52.0
YNR007C,8,8.0,37.0
YNL223W,3,6.0,59.0
YBR080C,19,19.0,141.0
YPL138C,22,1.0,17.0
YDR469W,7,32.0,232.0
YBR258C,9,,18.0
YDR363W-A,30,44.0,153.0
YGL105W,20,37.0,50.0
YCL043C,81,18.0,121.0
YLR116W,52,12.0,169.0
YKL074C,63,33.0,150.0
YEL020W-A,7,,
YDL095W,48,3.0,76.0
YAL023C,14,8.0,97.0
YOR321W,3,1.0,11.0
YJR143C,3,7.0,103.0
YKL057C,19,62.0,171.0
YKR082W,20,71.0,202.0
YLR321C,16,9.0,71.0
YIL160C,3,6.0,28.0
YBL079W,22,31.0,117.0
YNL030W,326,5.0,39.0
YDR023W,1,,3.0
YNL037C,2,13.0,80.0
YOR136W,10,26.0,81.0
YGR080W,7,5.0,27.0
YMR012W,3,5.0,3.0
YLR075W,14,89.0,202.0
YDR005C,10,1.0,47.0
YNL004W,20,9.0,22.0
YDR393W,15,26.0,57.0
YHR072W,2,23.0,235.0
YLR100W,2,3.0,82.0
YHR195W,4,,15.0
YEL005C,7,2.0,18.0
YLR150W,13,11.0,51.0
YMR268C,8,120.0,271.0
YNL087W,13,3.0,12.0
YOR275C,2,54.0,171.0
YPL065W,7,11.0,44.0
YPL084W,14,63.0,176.0
YLR025W,39,,4.0
YKR035W-A,10,4.0,72.0
YDR486C,55,10.0,85.0
YDR069C,22,28.0,141.0
YLR109W,5,1.0,28.0
YHR039C-A,13,,
YNL020C,24,6.0,45.0
YOR177C,8,5.0,16.0
YAL042W,3,5.0,31.0
YAL003W,5,1.0,9.0
YJR005W,8,1.0,45.0
YHR143W-A,8,,
YLL042C,3,20.0,44.0
YGR132C,5,11.0,72.0
YLR147C,18,,
YOR332W,10,,16.0
YLR430W,47,20.0,174.0
YPR056W,30,11.0,95.0
YDR320C,10,31.0,215.0
YOR370C,7,71.0,242.0
YOR065W,8,9.0,104.0
YIR021W,7,4.0,54.0
YBR273C,7,2.0,24.0
YJR010C-A,36,7.0,36.0
YML055W,10,3.0,43.0
YDR190C,421,43.0,79.0
YKR084C,4,6.0,56.0
YDR130C,87,2.0,78.0
YEL027W,5,118.0,224.0
YKL025C,3,4.0,45.0
YLR246W,5,5.0,36.0
YOL110W,1,10.0,27.0
YOL127W,548,,
YNR032C-A,17,2.0,66.0
YML105C,7,9.0,130.0
YPR094W,8,13.0,148.0
YPL213W,82,48.0,132.0
YNR038W,13,10.0,76.0
YEL034W,29,373.0,605.0
YHR068W,2,12.0,88.0
YJR070C,2,7.0,84.0
YAL001C,13,13.0,74.0
YNL329C,11,6.0,38.0
YOL044W,7,1.0,45.0
YDR375C,5,1.0,52.0
YGL060W,18,6.0,40.0
YKL154W,4,173.0,214.0
YDR231C,237,11.0,107.0
YIR012W,17,1.0,22.0
YGL054C,25,33.0,202.0
YIR009W,24,,4.0
YEL022W,11,2.0,18.0
YER107C,21,21.0,164.0
YMR218C,16,10.0,72.0
YDR407C,12,1.0,
YGR166W,6,49.0,166.0
YER001W,9,,17.0
YDR245W,11,21.0,129.0
YML132W,1,1.0,
YML129C,16,1.0,36.0
YJL093C,7,,14.0
YLR138W,3,11.0,40.0
YHR118C,27,31.0,200.0
YKR001C,14,25.0,218.0
YDL178W,1,2.0,18.0
YPR188C,3,,5.0
YPL047W,25,43.0,130.0
YPL155C,12,3.0,33.0
YKR090W,1,,
YOR083W,7,38.0,91.0
YOR054C,4,,24.0
YMR301C,1,6.0,81.0
YOR324C,32,2.0,19.0
YPR118W,2,1.0,24.0
YJL209W,1,2.0,65.0
YIL002C,12,7.0,52.0
YHR178W,1,24.0,150.0
YOR162C,3,3.0,1.0
YKR059W,10,5.0,79.0
YKL178C,1,,
YBR073W,3,2.0,25.0
YDR423C,3,3.0,12.0
YJL197W,11,4.0,97.0
YDR443C,110,26.0,151.0
YGL151W,24,18.0,118.0
YCL001W,1,7.0,74.0
YPL152W,4,11.0,61.0
YIL153W,41,4.0,84.0
YML074C,9,2.0,6.0
YOR330C,1,35.0,99.0
YEL018W,14,27.0,192.0
YJR082C,18,16.0,88.0
YNL136W,20,67.0,275.0
YDR359C,26,3.0,17.0
YER044C,8,,
YML008C,6,41.0,235.0
YOR301W,4,,26.0
YDR079C-A,11,40.0,155.0
YGR136W,12,,7.0
YPR154W,44,4.0,49.0
YDL141W,3,2.0,11.0
YHR134W,69,2.0,22.0
YDR289C,9,15.0,197.0
YPR108W,24,46.0,207.0
YBL003C,174,,5.0
YGL123W,608,59.0,235.0
YPL090C,552,13.0,37.0
YOR096W,544,6.0,39.0
YBR181C,1,10.0,56.0
YNL096C,2,8.0,47.0
YPL081W,544,4.0,77.0
YBR189W,1,2.0,16.0
YCR031C,589,13.0,53.0
YJL191W,4,1.0,30.0
YBL004W,21,,
YHR194W,3,29.0,33.0
YPL239W,3,6.0,30.0
YLR459W,1,75.0,315.0
YEL065W,2,,17.0
YGR181W,3,6.0,80.0
YLR456W,5,1.0,14.0
YGR089W,58,7.0,94.0
YKR054C,69,13.0,128.0
YDL181W,16,4.0,26.0
YKL179C,92,3.0,8.0
YLR190W,4,21.0,108.0
YOR195W,33,12.0,102.0
YNL079C,9,118.0,282.0
YIL138C,1,5.0,28.0
YMR124W,11,17.0,60.0
YDR379W,7,4.0,11.0
YJL114W,4,,
YJL113W,4,,
YDL099W,4,12.0,157.0
YDR285W,32,,
YEL043W,19,21.0,147.0
YEL061C,13,11.0,144.0
YGR130C,52,7.0,34.0
YJR083C,1,,10.0
YLR086W,13,23.0,88.0
YLR254C,58,40.0,167.0
YMR065W,6,1.0,12.0
YDL008W,15,,4.0
YFR029W,3,1.0,44.0
YBR108W,8,30.0,69.0
YFR008W,12,5.0,92.0
YOL081W,21,156.0,555.0
YEL024W,2,31.0,172.0
YDR238C,14,91.0,378.0
YML100W,5,6.0,17.0
YLL016W,1,,
YHR069C,17,11.0,54.0
YEL003W,15,104.0,304.0
YER124C,1,,17.0
YEL060C,3,2.0,78.0
YHR102W,17,,
YBR044C,3,9.0,13.0
YLR249W,8,1.0,4.0
YJL047C,13,5.0,61.0
YFR022W,2,,8.0
YHR079C-A,4,3.0,11.0
YDR004W,6,19.0,91.0
YGR134W,13,11.0,78.0
YMR054W,20,3.0,40.0
YOR188W,4,2.0,11.0
YDR389W,1,12.0,197.0
YLR450W,21,6.0,33.0
YLR207W,13,17.0,16.0
YML075C,3,6.0,69.0
YDR202C,9,6.0,87.0
YLR421C,16,4.0,32.0
YCL067C,3,,
YDR377W,2,,
YML081C-A,5,24.0,111.0
YDR298C,6,11.0,69.0
YNL315C,13,56.0,225.0
YNR001C,4,15.0,37.0
YBR072W,9,,
YJL100W,1,,1.0
YGR013W,24,3.0,44.0
YCL009C,1,11.0,25.0
YLR027C,4,2.0,62.0
YOR249C,17,97.0,245.0
YNL259C,2,,61.0
YFL016C,4,,
YLR240W,70,,
YCL066W,4,,
YEL019C,18,97.0,239.0
YEL046C,1,,
YPL249C,23,4.0,3.0
YMR192W,13,3.0,15.0
YCR060W,15,,4.0
YHR034C,18,28.0,53.0
YNL215W,12,36.0,239.0
YDL105W,8,151.0,350.0
YDR320C-A,30,,
YKL138C-A,26,,
YDR410C,2,2.0,2.0
YBR110W,4,17.0,201.0
YOL096C,21,,
YEL026W,9,10.0,99.0
YLR223C,14,,1.0
YGR270W,88,12.0,143.0
YKL212W,32,52.0,244.0
YBR021W,2,,
YEL063C,3,,
YLR128W,7,2.0,5.0
YOR124C,27,,43.0
YPL024W,3,10.0,169.0
YNR054C,37,8.0,101.0
YDL015C,11,36.0,125.0
YGR234W,16,3.0,11.0
YKL148C,1,7.0,39.0
YLL041C,2,10.0,32.0
YGR207C,9,3.0,15.0
YPR004C,4,4.0,42.0
YGR033C,17,11.0,108.0
YNR039C,3,3.0,15.0
YDR205W,1,2.0,35.0
YER033C,2,,15.0
YKL080W,10,27.0,67.0
YGR175C,8,2.0,7.0
YMR202W,5,10.0,35.0
YLR056W,3,341.0,650.0
YHR007C,1,17.0,178.0
YDR233C,30,6.0,13.0
YGR105W,13,8.0,30.0
YMR204C,8,6.0,18.0
YPR189W,21,30.0,91.0
YLR440C,16,9.0,174.0
YPR040W,9,,
YPL215W,32,,
YGR174C,9,19.0,148.0
YER129W,24,7.0,44.0
YKL160W,7,14.0,156.0
YNL209W,1993,1.0,47.0
YPL146C,169,23.0,73.0
YIL139C,10,,27.0
YNL206C,24,10.0,46.0
YOR204W,15,731.0,866.0
YJR091C,22,16.0,48.0
YJL129C,1,7.0,53.0
YOR346W,12,6.0,54.0
YGR209C,23,18.0,62.0
YMR186W,474,7.0,95.0
YPL187W,1,,
YER072W,9,9.0,93.0
YCR073C,23,2.0,22.0
YJL035C,1,3.0,33.0
YPL076W,2,48.0,234.0
YPL175W,1,,13.0
YMR164C,2,5.0,18.0
YNL310C,1,,
YDL230W,11,12.0,64.0
YOR119C,119,24.0,89.0
YMR216C,57,20.0,74.0
YOL013C,61,9.0,28.0
YMR069W,2,8.0,70.0
YDR440W,15,,57.0
YDL122W,10,5.0,125.0
YPR176C,8,20.0,190.0
YHR004C,7,32.0,121.0
Q0160,1,,
YNL047C,5,19.0,89.0
YJL058C,41,4.0,30.0
YCL034W,3,1.0,23.0
YDR078C,3,4.0,16.0
YPL121C,4,4.0,6.0
YPR080W,14,8.0,45.0
YKL197C,9,2.0,36.0
YDR153C,44,7.0,61.0
YBR210W,1,7.0,72.0
YDL201W,2,8.0,9.0
YMR264W,7,9.0,38.0
YGL225W,11,10.0,91.0
YIR022W,5,24.0,163.0
YHR024C,3,3.0,22.0
YLR342W,1,32.0,118.0
YKL054C,176,27.0,144.0
YHR041C,21,16.0,136.0
YNL328C,3,,11.0
YAL011W,13,26.0,180.0
YAL026C,18,24.0,68.0
YAR071W,5,18.0,92.0
YBL067C,50,27.0,75.0
YBL086C,2,22.0,50.0
YBL103C,30,45.0,151.0
YBR001C,4,,18.0
YBR030W,2,2.0,22.0
YBR054W,2,,4.0
YBR062C,1,,18.0
YBR067C,2,7.0,9.0
YBR084W,12,16.0,53.0
YBR095C,18,37.0,194.0
YBR139W,4,8.0,49.0
YBR148W,10,,9.0
YBR149W,1,3.0,36.0
YBR150C,3,3.0,37.0
YBR159W,20,1.0,9.0
YBR173C,23,40.0,183.0
YBR187W,7,9.0,38.0
YBR194W,155,,15.0
YBR197C,2,,4.0
YBR212W,11,27.0,80.0
YBR215W,7,9.0,41.0
YBR218C,4,1.0,24.0
YBR229C,3,18.0,76.0
YBR249C,3,1.0,12.0
YBR268W,2,,11.0
YBR281C,4,3.0,18.0
YCL016C,4,67.0,208.0
YCL017C,13,144.0,239.0
YCL031C,29,11.0,8.0
YCR030C,6,,
YCR043C,18,,1.0
YCR047C,3,,
YCR071C,13,22.0,26.0
YCR073W-A,3,2.0,22.0
YCR076C,8,,16.0
YCR081W,8,2.0,7.0
YCR087C-A,9,4.0,11.0
YCR090C,1,,4.0
YDL007W,17,37.0,204.0
YDL019C,11,,12.0
YDL031W,20,11.0,179.0
YDL036C,2,1.0,16.0
YDL044C,13,,17.0
YDL053C,6,3.0,31.0
YDL054C,1,,2.0
YDL055C,42,5.0,10.0
YDL078C,9,1.0,30.0
YDL092W,8,,
YDL103C,3,21.0,158.0
YDL115C,13,11.0,145.0
YDL139C,19,6.0,115.0
YDL143W,11,23.0,70.0
YDL182W,20,2.0,54.0
YDL241W,1,1.0,15.0
YDR006C,3,,43.0
YDR022C,15,1.0,20.0
YDR044W,14,28.0,134.0
YDR049W,9,31.0,134.0
YDR111C,3,2.0,19.0
YDR139C,9,4.0,19.0
YDR141C,7,8.0,114.0
YDR147W,2,12.0,60.0
YDR165W,1,1.0,17.0
YDR174W,25,6.0,74.0
YDR213W,4,3.0,37.0
YDR221W,4,,32.0
YDR234W,7,,
YDR235W,13,2.0,56.0
YDR248C,1,1.0,29.0
YDR251W,8,1.0,28.0
YDR272W,1,1.0,
YDR299W,6,2.0,63.0
YDR314C,8,,6.0
YDR322W,8,12.0,156.0
YDR330W,6,3.0,11.0
YDR337W,11,23.0,64.0
YDR353W,5,8.0,7.0
YDR354W,1,21.0,102.0
YDR362C,345,9.0,99.0
YDR372C,12,,22.0
YDR385W,25,5.0,50.0
YDR397C,5,103.0,333.0
YDR405W,73,30.0,87.0
YDR453C,4,,24.0
YDR462W,36,1.0,44.0
YDR463W,5,,3.0
YDR475C,4,3.0,32.0
YDR485C,11,22.0,247.0
YDR501W,1,12.0,10.0
YDR502C,4,,8.0
YDR515W,6,2.0,9.0
YDR517W,8,6.0,40.0
YDR519W,6,1.0,3.0
YDR533C,5,1.0,30.0
YEL001C,11,3.0,26.0
YEL012W,5,1.0,56.0
YEL016C,1,4.0,37.0
YEL023C,7,,1.0
YEL040W,1,2.0,64.0
YEL044W,13,,
YEL055C,2,62.0,292.0
YER030W,4,3.0,23.0
YER035W,6,3.0,43.0
YER047C,1,4.0,16.0
YER048W-A,4,22.0,27.0
YER050C,32,,
YER069W,1,,
YER071C,9,5.0,45.0
YER078C,2,6.0,48.0
YER086W,10,90.0,511.0
YER088C,4,2.0,19.0
YER091C,1,4.0,55.0
YER092W,15,24.0,180.0
YER098W,2,19.0,34.0
YER116C,28,18.0,112.0
YER139C,19,12.0,65.0
YER147C,13,43.0,180.0
YER174C,6,4.0,41.0
YFL002C,363,87.0,229.0
YFL007W,11,14.0,39.0
YFL013C,29,9.0,99.0
YFL023W,66,18.0,100.0
YFL044C,63,,23.0
YFR013W,14,3.0,20.0
YFR015C,6,4.0,36.0
YFR017C,2,1.0,10.0
YFR019W,9,33.0,115.0
YFR025C,3,,
YFR030W,6,3.0,35.0
YFR048W,1,2.0,40.0
YFR049W,6,,21.0
YGL014W,6,5.0,67.0
YGL020C,2,97.0,271.0
YGL039W,2,,6.0
YGL045W,5,14.0,99.0
YGL050W,1,8.0,54.0
YGL057C,1,18.0,56.0
YGL067W,4,7.0,52.0
YGL108C,1,,9.0
YGL110C,4,,9.0
YGL111W,62,9.0,90.0
YGL125W,1,1.0,39.0
YGL133W,10,8.0,96.0
YGL157W,3,1.0,13.0
YGL167C,19,43.0,343.0
YGL197W,4,10.0,47.0
YGL203C,3,15.0,67.0
YGL227W,106,9.0,40.0
YGL234W,3,3.0,14.0
YGR003W,9,2.0,42.0
YGR037C,7,7.0,37.0
YGR071C,3,5.0,29.0
YGR075C,4,1.0,62.0
YGR084C,16,1.0,25.0
YGR086C,31,11.0,74.0
YGR124W,4,,3.0
YGR161C,8,1.0,54.0
YGR165W,14,,
YGR170W,2,4.0,78.0
YGR204W,5,1.0,1.0
YGR206W,3,31.0,67.0
YGR237C,5,13.0,29.0
YGR248W,1,3.0,39.0
YGR251W,12,70.0,224.0
YGR253C,15,26.0,110.0
YGR277C,7,24.0,165.0
YGR286C,2,,52.0
YHL008C,4,6.0,44.0
YHL029C,4,55.0,261.0
YHL032C,6,1.0,
YHL034C,61,4.0,60.0
YHR042W,7,8.0,15.0
YHR097C,2,,8.0
YHR104W,3,21.0,95.0
YHR121W,17,9.0,32.0
YHR124W,3,19.0,40.0
YHR127W,4,7.0,20.0
YHR131C,2,,
YHR138C,2,1.0,7.0
YHR146W,4,3.0,9.0
YHR161C,8,,1.0
YHR185C,3,1.0,49.0
YHR193C,15,19.0,57.0
YHR198C,1,2.0,36.0
YHR201C,1,18.0,165.0
YIL015W,1,8.0,52.0
YIL017C,9,5.0,103.0
YIL020C,2,,
YIL036W,2,3.0,8.0
YIL043C,18,8.0,27.0
YIL045W,9,,16.0
YIL051C,13,,56.0
YIL056W,2,3.0,19.0
YIL069C,8,4.0,27.0
YIL070C,51,11.0,82.0
YIL076W,22,100.0,351.0
YIL091C,18,2.0,99.0
YIL093C,6,,5.0
YIL096C,1,5.0,7.0
YIL097W,3,3.0,46.0
YIL098C,3,28.0,119.0
YIL101C,5,3.0,27.0
YIL103W,15,1.0,7.0
YIL108W,2,,
YIL127C,1,4.0,44.0
YIL135C,1,,20.0
YIL137C,212,,21.0
YIL148W,27,18.0,98.0
YIL156W,6,,10.0
YIL161W,12,3.0,15.0
YIL162W,4,7.0,27.0
YJL024C,1,6.0,66.0
YJL051W,1,3.0,63.0
YJL063C,7,21.0,56.0
YJL070C,5,3.0,28.0
YJL084C,11,,2.0
YJL102W,2,44.0,246.0
YJL107C,4,37.0,67.0
YJL144W,3,1.0,19.0
YJL146W,3,21.0,56.0
YJL155C,1,2.0,8.0
YJL180C,3,13.0,89.0
YJL217W,2,,20.0
YJR011C,11,16.0,63.0
YJR036C,1,1.0,31.0
YJR041C,52,13.0,112.0
YJR047C,2,4.0,20.0
YJR059W,211,32.0,150.0
YJR067C,2,4.0,46.0
YJR069C,1,5.0,18.0
YJR089W,20,428.0,518.0
YJR094W-A,3,2.0,27.0
YJR109C,8,,
YJR113C,5,3.0,83.0
YJR119C,27,4.0,44.0
YJR140C,4,44.0,155.0
YKL005C,5,4.0,55.0
YKL035W,6,15.0,57.0
YKL047W,3,,3.0
YKL056C,4,9.0,60.0
YKL061W,10,1.0,7.0
YKL069W,4,,28.0
YKL075C,4,2.0,34.0
YKL093W,3,4.0,38.0
YKL096W-A,2,5.0,20.0
YKL104C,3,12.0,55.0
YKL122C,8,,
YKL124W,3,,13.0
YKL126W,39,,1.0
YKL128C,2,,18.0
YKL151C,1,,13.0
YKL157W,9,13.0,63.0
YKL159C,6,1.0,19.0
YKL164C,1,4.0,29.0
YKL172W,15,9.0,78.0
YKL173W,20,19.0,177.0
YKL185W,13,8.0,50.0
YKL191W,7,14.0,40.0
YKL204W,124,143.0,167.0
YKL206C,4,9.0,81.0
YKR003W,1,1.0,37.0
YKR009C,3,2.0,20.0
YKR010C,14,9.0,65.0
YKR025W,11,,29.0
YKR027W,5,8.0,48.0
YKR042W,1,9.0,58.0
YKR049C,1,,12.0
YKR071C,6,,
YKR072C,9,9.0,69.0
YKR078W,1,1.0,10.0
YKR092C,12,19.0,82.0
YKR098C,4,1.0,37.0
YLL002W,12,19.0,144.0
YLL022C,22,,18.0
YLL032C,1,2.0,34.0
YLR011W,3,1.0,34.0
YLR022C,21,19.0,101.0
YLR028C,6,6.0,37.0
YLR039C,6,221.0,506.0
YLR052W,16,46.0,245.0
YLR069C,3,4.0,17.0
