Majority protein IDs,hYPS1009 wt rep1,hYPS1009 wt rep2,hYPS1009 wt rep3
YDL084W,12569000000,12014000000,12012000000
YBL045C,15695000000,13094000000,16454000000
YJR070C,14229000000,14817000000,12572000000
YML008C,16318000000,15666000000,17125000000
YPR041W,12172000000,13249000000,11733000000
YIL169C,15798000000,18978000000,17600000000
YHR193C,16250000000,16624000000,15024000000
YER036C,15868000000,13173000000,15971000000
YLR216C,10441000000,12340000000,10578000000
YEL026W,7486500000,14392000000,10478000000
YOR007C,10734000000,12710000000,11743000000
YIL078W,17563000000,14504000000,18071000000
YOR153W,9882000000,9909700000,9109300000
YBL076C,16792000000,13541000000,17457000000
YIL041W,9505300000,9942200000,9859700000
YKL104C,6617900000,6028300000,6336300000
YGR204W,13181000000,12187000000,12483000000
YHR179W,13805000000,13895000000,14009000000
YBL002W,18002000000,19509000000,16214000000
YER091C,10610000000,9305700000,10754000000
YBR286W,13978000000,15111000000,13399000000
YFL022C,13200000000,12355000000,13139000000
YCL037C,13822000000,14687000000,13641000000
YOR182C;YLR287C-A,15790000000,14766000000,21681000000
YLR167W,20151000000,27632000000,20172000000
YPL004C,9095500000,10526000000,9557500000
YER025W,14522000000,12949000000,16081000000
YBR143C,10131000000,8626000000,9723000000
YNL079C,19138000000,19177000000,23919000000
YHR019C,12497000000,12642000000,12577000000
YGL234W,15678000000,13130000000,15392000000
YOL139C,12060000000,12691000000,13800000000
YJR009C,16032000000,12899000000,17439000000
YNL064C,11471000000,13435000000,12130000000
YMR012W,12554000000,11386000000,13029000000
YGR282C,8972400000,9365000000,9237700000
YDR382W,20110000000,19710000000,25456000000
YOR332W,7941000000,11285000000,9882800000
YOR323C,11389000000,11841000000,11465000000
YBR218C,12365000000,10888000000,12949000000
YER120W,10092000000,10710000000,9713100000
YDR298C,6404900000,7983400000,7718400000
YBL024W,10980000000,11347000000,11553000000
YLR429W,10111000000,12314000000,9700500000
YFR044C,9840700000,11824000000,10603000000
YDR129C,9279800000,9689500000,10301000000
YDR432W,11709000000,13006000000,11707000000
YFR053C,11187000000,9759300000,11580000000
YOR361C,12018000000,10733000000,11649000000
YIL052C;YER056C-A,29936000000,24996000000,32105000000
YOR374W,6844000000,6612800000,7167000000
YER003C,10374000000,11720000000,9569300000
YGR061C,13292000000,12285000000,13267000000
YDR225W;YBL003C,5720500000,10498000000,7976800000
YJL041W,8856600000,10590000000,8877200000
YBR039W,7114100000,9166600000,8274900000
YLL026W,7561900000,8875400000,7645600000
YKL210W,11100000000,10275000000,10849000000
YPL037C,10223000000,10016000000,10767000000
YPL226W,12330000000,11008000000,12295000000
YDL195W,9260800000,9270600000,8707000000
YGL202W,10469000000,10534000000,10692000000
YOR293W,9215500000,16294000000,11123000000
YDL171C,13282000000,11798000000,13190000000
YKR001C,9276700000,9524900000,9664500000
YNL037C,7912100000,8570200000,8851200000
YDL066W,9323300000,10028000000,8710100000
YOL039W,14918000000,14701000000,13972000000
YDR454C,12692000000,14520000000,13212000000
YJL014W,9765100000,9204600000,9646800000
YNL010W,7613200000,7231900000,7273700000
YGR124W,11815000000,10066000000,12270000000
YKL029C,14648000000,13913000000,15434000000
YMR146C,9763400000,7029500000,9383800000
YOL041C,9599000000,11715000000,9098300000
YJR048W,7658600000,10641000000,8349100000
YJR016C,11391000000,11136000000,11199000000
YLR027C,7629200000,6932000000,7881900000
YGL009C,9528500000,9438800000,9540400000
YDL061C,5427300000,9018400000,5664400000
YGR175C,10529000000,10719000000,10369000000
YDR002W,12883000000,12506000000,14077000000
