Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
YDR119W	hr	7.0	Christiano R	2014
YDR120C	hr	8.1	Christiano R	2014
YDR121W	hr	10.6	Christiano R	2014
YDR122W	hr	10.9	Christiano R	2014
YDR127W	hr	12.0	Christiano R	2014
YDR128W	hr	6.2	Christiano R	2014
YDR129C	hr	9.3	Christiano R	2014
YDR137W	hr	6.5	Christiano R	2014
YDR138W	hr	8.2	Christiano R	2014
YDR139C	hr	23.9	Christiano R	2014
YDR140W	hr	7.9	Christiano R	2014
YDR141C	hr	10.9	Christiano R	2014
YDR143C	hr	3.3	Christiano R	2014
YDR145W	hr	8.5	Christiano R	2014
YDR146C	min	26.8	Christiano R	2014
YDR147W	hr	5.8	Christiano R	2014
YDR148C	hr	8.8	Christiano R	2014
YDR150W	hr	5.1	Christiano R	2014
YDR152W	hr	11.4	Christiano R	2014
YDR153C	hr	7.0	Christiano R	2014
YDR155C	hr	10.8	Christiano R	2014
YDR156W	hr	9.2	Christiano R	2014
YDR158W	hr	17.3	Christiano R	2014
YDR159W	hr	15.7	Christiano R	2014
YDR161W	hr	10.8	Christiano R	2014
YDR162C	hr	10.6	Christiano R	2014
YDR163W	hr	2.6	Christiano R	2014
YDR164C	hr	10.6	Christiano R	2014
YDR165W	hr	9.4	Christiano R	2014
YDR166C	hr	6.0	Christiano R	2014
YDR167W	hr	9.9	Christiano R	2014
YDR168W	hr	11.7	Christiano R	2014
YDR169C	hr	5.0	Christiano R	2014
YDR170C	hr	8.9	Christiano R	2014
YDR171W	hr	21.4	Christiano R	2014
YDR172W	hr	9.6	Christiano R	2014
YDR173C	hr	7.5	Christiano R	2014
YDR174W	hr	11.6	Christiano R	2014
YDR175C	hr	5.4	Christiano R	2014
YDR176W	hr	9.7	Christiano R	2014
YDR177W	hr	7.8	Christiano R	2014
YDR178W	hr	5.8	Christiano R	2014
YDR179C	hr	7.6	Christiano R	2014
YDR180W	hr	6.1	Christiano R	2014
YDR181C	hr	10.3	Christiano R	2014
YDR182W	hr	4.7	Christiano R	2014
YDR183W	hr	7.7	Christiano R	2014
YDR184C	min	20.6	Christiano R	2014
YDR185C	min	58.3	Christiano R	2014
YDR186C	hr	2.0	Christiano R	2014
YDR188W	hr	10.0	Christiano R	2014
YDR189W	hr	9.9	Christiano R	2014
YDR190C	hr	9.2	Christiano R	2014
YDR191W	hr	11.6	Christiano R	2014
YDR192C	hr	8.7	Christiano R	2014
YDR194C	hr	6.9	Christiano R	2014
YDR195W	hr	6.4	Christiano R	2014
YDR196C	hr	13.7	Christiano R	2014
YDR198C	hr	8.0	Christiano R	2014
YDR201W	hr	8.0	Christiano R	2014
YDR202C	hr	7.8	Christiano R	2014
YDR204W	hr	8.4	Christiano R	2014
YDR206W	hr	8.1	Christiano R	2014
YDR207C	hr	10.2	Christiano R	2014
YDR208W	hr	3.6	Christiano R	2014
YDR210W	hr	12.9	Christiano R	2014
YDR211W	hr	11.1	Christiano R	2014
YDR212W	hr	9.9	Christiano R	2014
YDR214W	hr	17.7	Christiano R	2014
YDR216W	hr	2.5	Christiano R	2014
YDR217C	hr	1.7	Christiano R	2014
YDR219C	hr	1.7	Christiano R	2014
YDR221W	hr	5.8	Christiano R	2014
YDR222W	hr	2.0	Christiano R	2014
YDR226W	hr	12.2	Christiano R	2014
YDR227W	hr	4.4	Christiano R	2014
YDR228C	hr	7.4	Christiano R	2014
YDR229W	hr	4.7	Christiano R	2014
YDR231C	hr	9.3	Christiano R	2014
YDR232W	hr	8.7	Christiano R	2014
YDR233C	hr	9.7	Christiano R	2014
YDR234W	hr	10.5	Christiano R	2014
YDR235W	hr	14.3	Christiano R	2014
YDR236C	hr	1.6	Christiano R	2014
YDR237W	hr	7.2	Christiano R	2014
YDR238C	hr	11.4	Christiano R	2014
YDR243C	hr	5.9	Christiano R	2014
YDR244W	hr	2.5	Christiano R	2014
YDR245W	hr	8.9	Christiano R	2014
YDR246W	hr	9.0	Christiano R	2014
YDR247W	hr	1.9	Christiano R	2014
YDR248C	hr	10.6	Christiano R	2014
YDR251W	hr	8.2	Christiano R	2014
YDR255C	hr	10.1	Christiano R	2014
YDR257C	hr	9.1	Christiano R	2014
YDR258C	hr	44.8	Christiano R	2014
YDR261C	hr	4.7	Christiano R	2014
YDR262W	min	59.5	Christiano R	2014
YDR264C	hr	10.0	Christiano R	2014
YDR265W	hr	10.3	Christiano R	2014
YDR266C	hr	7.8	Christiano R	2014
YDR267C	hr	9.6	Christiano R	2014
YDR268W	hr	9.8	Christiano R	2014
YDR272W	hr	7.2	Christiano R	2014
YDR279W	hr	9.8	Christiano R	2014
YDR280W	hr	9.1	Christiano R	2014
YDR283C	hr	11.1	Christiano R	2014
YDR284C	hr	28.7	Christiano R	2014
YDR287W	hr	8.1	Christiano R	2014
YDR288W	hr	7.2	Christiano R	2014
YDR289C	hr	8.4	Christiano R	2014
YDR291W	hr	13.4	Christiano R	2014
YDR292C	hr	9.9	Christiano R	2014
YDR293C	hr	11.3	Christiano R	2014
YDR294C	hr	8.5	Christiano R	2014
YDR295C	hr	9.4	Christiano R	2014
YDR296W	hr	7.0	Christiano R	2014
YDR297W	hr	6.5	Christiano R	2014
YDR298C	hr	7.2	Christiano R	2014
YDR299W	hr	8.4	Christiano R	2014
YDR300C	hr	10.9	Christiano R	2014
YDR301W	hr	12.2	Christiano R	2014
YDR303C	hr	9.2	Christiano R	2014
YDR304C	hr	10.7	Christiano R	2014
YDR305C	hr	9.4	Christiano R	2014
YDR308C	hr	5.3	Christiano R	2014
YDR309C	min	30.1	Christiano R	2014
YDR310C	hr	9.1	Christiano R	2014
YDR311W	hr	8.2	Christiano R	2014
YDR312W	hr	9.8	Christiano R	2014
YDR313C	hr	2.0	Christiano R	2014
YDR316W	hr	7.7	Christiano R	2014
YDR318W	hr	4.6	Christiano R	2014
YDR320C	hr	9.6	Christiano R	2014
YDR321W	hr	10.8	Christiano R	2014
YDR322C-A	hr	6.8	Christiano R	2014
YDR322W	hr	9.2	Christiano R	2014
YDR323C	hr	8.7	Christiano R	2014
YDR324C	hr	10.5	Christiano R	2014
YDR325W	hr	5.0	Christiano R	2014
YDR326C	hr	2.5	Christiano R	2014
YDR328C	hr	10.6	Christiano R	2014
YDR329C	hr	8.5	Christiano R	2014
YDR330W	hr	6.7	Christiano R	2014
YDR332W	hr	13.3	Christiano R	2014
YDR333C	hr	9.6	Christiano R	2014
YDR334W	hr	7.7	Christiano R	2014
YDR337W	hr	7.2	Christiano R	2014
YDR339C	hr	10.1	Christiano R	2014
YDR341C	hr	10.4	Christiano R	2014
YDR345C	hr	6.3	Christiano R	2014
YDR346C	hr	9.5	Christiano R	2014
YDR347W	hr	8.5	Christiano R	2014
YDR348C	hr	8.4	Christiano R	2014
YDR351W	hr	2.5	Christiano R	2014
YDR353W	hr	7.7	Christiano R	2014
YDR354W	hr	14.3	Christiano R	2014
YDR356W	hr	6.5	Christiano R	2014
YDR358W	hr	9.3	Christiano R	2014
YDR359C	hr	7.1	Christiano R	2014
YDR361C	hr	10.6	Christiano R	2014
YDR362C	hr	9.2	Christiano R	2014
YDR363W	hr	12.3	Christiano R	2014
YDR363W-A	hr	7.9	Christiano R	2014
YDR365C	hr	9.4	Christiano R	2014
YDR367W	hr	14.4	Christiano R	2014
YDR368W	hr	13.4	Christiano R	2014
YDR369C	min	31.0	Christiano R	2014
YDR370C	hr	2.9	Christiano R	2014
YDR371W	hr	6.5	Christiano R	2014
YDR372C	hr	9.5	Christiano R	2014
YDR373W	hr	4.4	Christiano R	2014
YDR375C	hr	5.6	Christiano R	2014
YDR376W	hr	9.2	Christiano R	2014
YDR377W	hr	6.2	Christiano R	2014
YDR379W	hr	6.9	Christiano R	2014
YDR381C-A	hr	5.2	Christiano R	2014
YDR381W	hr	10.3	Christiano R	2014
YDR382W	hr	9.6	Christiano R	2014
YDR384C	min	56.3	Christiano R	2014
YDR388W	hr	9.9	Christiano R	2014
YDR389W	hr	5.5	Christiano R	2014
YDR390C	hr	9.1	Christiano R	2014
YDR391C	hr	7.3	Christiano R	2014
YDR392W	hr	8.4	Christiano R	2014
YDR394W	hr	9.0	Christiano R	2014
YDR395W	hr	10.7	Christiano R	2014
YDR397C	hr	6.9	Christiano R	2014
YDR398W	hr	8.7	Christiano R	2014
YDR399W	hr	12.3	Christiano R	2014
YDR400W	hr	11.4	Christiano R	2014
YDR404C	hr	11.6	Christiano R	2014
YDR406W	hr	8.1	Christiano R	2014
YDR407C	hr	9.9	Christiano R	2014
YDR408C	hr	8.6	Christiano R	2014
YDR409W	hr	7.5	Christiano R	2014
YDR411C	hr	5.7	Christiano R	2014
YDR412W	hr	7.0	Christiano R	2014
YDR415C	hr	4.8	Christiano R	2014
YDR416W	hr	8.0	Christiano R	2014
YDR422C	hr	5.5	Christiano R	2014
YDR424C	hr	8.2	Christiano R	2014
YDR425W	hr	8.2	Christiano R	2014
YDR427W	hr	12.2	Christiano R	2014
YDR428C	hr	4.4	Christiano R	2014
YDR429C	hr	11.5	Christiano R	2014
YDR430C	hr	10.6	Christiano R	2014
YDR432W	hr	9.9	Christiano R	2014
YDR434W	hr	11.3	Christiano R	2014
YDR435C	hr	13.0	Christiano R	2014
YDR436W	hr	6.0	Christiano R	2014
YDR439W	hr	8.0	Christiano R	2014
YDR440W	hr	6.2	Christiano R	2014
YDR443C	hr	7.5	Christiano R	2014
YDR449C	hr	8.6	Christiano R	2014
YDR451C	hr	21.6	Christiano R	2014
YDR452W	hr	5.4	Christiano R	2014
YDR453C	hr	4.7	Christiano R	2014
YDR454C	hr	10.7	Christiano R	2014
YDR457W	hr	7.9	Christiano R	2014
YDR458C	hr	8.2	Christiano R	2014
YDR460W	hr	9.7	Christiano R	2014
YDR461C-A	hr	1.6	Christiano R	2014
YDR464W	hr	3.5	Christiano R	2014
YDR465C	hr	7.1	Christiano R	2014
YDR466W	hr	7.8	Christiano R	2014
YDR468C	hr	7.5	Christiano R	2014
YDR469W	hr	8.9	Christiano R	2014
YDR472W	hr	10.6	Christiano R	2014
YDR473C	hr	14.7	Christiano R	2014
YDR476C	hr	11.4	Christiano R	2014
YDR477W	hr	9.2	Christiano R	2014
YDR478W	hr	12.6	Christiano R	2014
YDR480W	hr	8.9	Christiano R	2014
YDR481C	hr	8.8	Christiano R	2014
YDR483W	hr	3.8	Christiano R	2014
YDR484W	hr	11.2	Christiano R	2014
YDR485C	hr	27.0	Christiano R	2014
YDR487C	hr	10000.0	Christiano R	2014
YDR489W	hr	9.4	Christiano R	2014
YDR490C	hr	10.0	Christiano R	2014
YDR492W	hr	2.4	Christiano R	2014
YDR493W	hr	8.9	Christiano R	2014
YDR494W	hr	4.5	Christiano R	2014
YDR495C	hr	10.0	Christiano R	2014
YDR496C	hr	10.1	Christiano R	2014
YDR497C	min	22.1	Christiano R	2014
YDR498C	hr	10.8	Christiano R	2014
YDR499W	hr	7.8	Christiano R	2014
YDR500C	hr	9.4	Christiano R	2014
YDR502C	hr	10.1	Christiano R	2014
YDR503C	hr	7.4	Christiano R	2014
YDR505C	hr	5.0	Christiano R	2014
YDR507C	hr	2.7	Christiano R	2014
YDR508C	hr	2.8	Christiano R	2014
YDR510W	hr	9.6	Christiano R	2014
YDR511W	hr	5.6	Christiano R	2014
YDR513W	hr	7.6	Christiano R	2014
YDR515W	hr	10.5	Christiano R	2014
YDR516C	hr	10.5	Christiano R	2014
YDR517W	hr	12.5	Christiano R	2014
YDR518W	hr	19.7	Christiano R	2014
YDR519W	hr	5.0	Christiano R	2014
YDR524C	hr	5.9	Christiano R	2014
YDR527W	hr	9.4	Christiano R	2014
YDR529C	min	10.4	Christiano R	2014
YDR530C	hr	13.2	Christiano R	2014
YDR531W	hr	10.3	Christiano R	2014
YDR532C	hr	5.7	Christiano R	2014
YDR533C	hr	31.2	Christiano R	2014
YDR539W	hr	11.2	Christiano R	2014
YDR540C	hr	2.7	Christiano R	2014
YDR541C	hr	9.0	Christiano R	2014
YEL001C	hr	7.8	Christiano R	2014
YEL002C	hr	10.0	Christiano R	2014
YEL003W	hr	9.5	Christiano R	2014
YEL007W	hr	5.4	Christiano R	2014
YEL011W	hr	12.0	Christiano R	2014
YEL013W	hr	10.2	Christiano R	2014
YEL015W	hr	10.7	Christiano R	2014
YEL017W	hr	54.5	Christiano R	2014
YEL018W	hr	10.2	Christiano R	2014
YEL019C	hr	11.4	Christiano R	2014
YEL020C	hr	11.2	Christiano R	2014
YEL020W-A	hr	8.4	Christiano R	2014
YEL022W	hr	9.6	Christiano R	2014
YEL024W	hr	5.3	Christiano R	2014
YEL026W	hr	9.5	Christiano R	2014
YEL027W	hr	10000.0	Christiano R	2014
YEL029C	hr	12.4	Christiano R	2014
YEL031W	hr	11.7	Christiano R	2014
YEL032W	hr	5.9	Christiano R	2014
YEL034W	hr	9.1	Christiano R	2014
YEL036C	hr	9.7	Christiano R	2014
YEL037C	hr	8.4	Christiano R	2014
YEL038W	hr	13.7	Christiano R	2014
YEL040W	hr	2.9	Christiano R	2014
YEL042W	hr	4.9	Christiano R	2014
YEL043W	hr	6.3	Christiano R	2014
YEL044W	hr	10.6	Christiano R	2014
YEL046C	hr	7.2	Christiano R	2014
YEL047C	hr	11.6	Christiano R	2014
YEL048C	hr	6.2	Christiano R	2014
YEL050C	hr	6.7	Christiano R	2014
YEL051W	hr	12.3	Christiano R	2014
YEL052W	hr	5.2	Christiano R	2014
YEL055C	hr	10.4	Christiano R	2014
YEL056W	hr	9.1	Christiano R	2014
YEL058W	hr	10.9	Christiano R	2014
YEL059C-A	hr	9.7	Christiano R	2014
YEL060C	hr	19.3	Christiano R	2014
YEL061C	hr	1.3	Christiano R	2014
YEL062W	hr	7.8	Christiano R	2014
YEL063C	hr	1.4	Christiano R	2014
YEL066W	hr	7.8	Christiano R	2014
YEL071W	hr	15.5	Christiano R	2014
YER001W	hr	2.6	Christiano R	2014
YER002W	hr	6.1	Christiano R	2014
YER003C	hr	13.2	Christiano R	2014
YER004W	hr	10.2	Christiano R	2014
YER005W	hr	9.9	Christiano R	2014
YER006W	hr	7.2	Christiano R	2014
YER007C-A	hr	10.8	Christiano R	2014
YER007W	hr	7.7	Christiano R	2014
YER008C	hr	11.6	Christiano R	2014
YER009W	hr	8.9	Christiano R	2014
YER010C	hr	10.1	Christiano R	2014
YER012W	hr	12.7	Christiano R	2014
YER013W	hr	5.3	Christiano R	2014
YER014W	hr	8.3	Christiano R	2014
YER016W	hr	12.2	Christiano R	2014
YER017C	hr	6.4	Christiano R	2014
YER019C-A	hr	6.0	Christiano R	2014
YER019W	hr	14.0	Christiano R	2014
YER020W	hr	9.0	Christiano R	2014
YER021W	hr	9.7	Christiano R	2014
YER022W	hr	9.2	Christiano R	2014
YER023W	hr	10.0	Christiano R	2014
YER025W	hr	9.0	Christiano R	2014
YER027C	hr	7.7	Christiano R	2014
YER029C	hr	11.1	Christiano R	2014
YER030W	hr	10.1	Christiano R	2014
YER031C	hr	9.7	Christiano R	2014
YER032W	min	55.9	Christiano R	2014
YER034W	hr	7.3	Christiano R	2014
YER036C	hr	9.5	Christiano R	2014
YER040W	hr	5.7	Christiano R	2014
YER042W	hr	10.2	Christiano R	2014
YER043C	hr	8.1	Christiano R	2014
YER044C	hr	23.2	Christiano R	2014
YER047C	hr	7.4	Christiano R	2014
YER048C	hr	9.2	Christiano R	2014
YER048W-A	hr	6.7	Christiano R	2014
YER049W	hr	8.9	Christiano R	2014
YER050C	hr	3.5	Christiano R	2014
YER051W	hr	4.0	Christiano R	2014
YER052C	hr	16.3	Christiano R	2014
YER053C	hr	10.4	Christiano R	2014
YER055C	hr	17.1	Christiano R	2014
YER056C	min	53.3	Christiano R	2014
YER057C	hr	9.2	Christiano R	2014
YER058W	hr	7.3	Christiano R	2014
YER059W	hr	5.6	Christiano R	2014
YER061C	hr	7.0	Christiano R	2014
YER062C	hr	11.9	Christiano R	2014
YER063W	hr	10.5	Christiano R	2014
YER065C	hr	1.0	Christiano R	2014
YER067W	hr	7.5	Christiano R	2014
YER068W	hr	8.7	Christiano R	2014
YER069W	hr	44.3	Christiano R	2014
YER070W	hr	3.9	Christiano R	2014
YER071C	hr	13.6	Christiano R	2014
YER072W	hr	9.7	Christiano R	2014
YER073W	hr	12.3	Christiano R	2014
YER075C	hr	3.9	Christiano R	2014
YER077C	hr	3.6	Christiano R	2014
YER078C	hr	7.5	Christiano R	2014
YER079W	hr	3.9	Christiano R	2014
YER080W	hr	8.8	Christiano R	2014
YER081W	hr	16.8	Christiano R	2014
YER082C	hr	8.0	Christiano R	2014
YER083C	hr	8.7	Christiano R	2014
YER086W	hr	8.2	Christiano R	2014
YER087C-B	hr	10.9	Christiano R	2014
YER087W	hr	6.1	Christiano R	2014
YER088C	hr	3.0	Christiano R	2014
YER089C	hr	8.3	Christiano R	2014
YER090W	hr	10.5	Christiano R	2014
YER091C	hr	7.5	Christiano R	2014
YER092W	hr	6.3	Christiano R	2014
YER094C	hr	8.8	Christiano R	2014
YER095W	hr	3.4	Christiano R	2014
YER099C	hr	10.8	Christiano R	2014
YER100W	hr	1.4	Christiano R	2014
YER101C	hr	10.8	Christiano R	2014
YER103W	hr	10000.0	Christiano R	2014
YER105C	hr	10.1	Christiano R	2014
YER107C	hr	10.5	Christiano R	2014
YER110C	hr	9.3	Christiano R	2014
YER111C	hr	5.7	Christiano R	2014
YER112W	hr	10.2	Christiano R	2014
YER113C	hr	9.1	Christiano R	2014
YER114C	hr	5.7	Christiano R	2014
YER120W	hr	10.7	Christiano R	2014
YER122C	hr	9.2	Christiano R	2014
YER125W	hr	7.8	Christiano R	2014
YER126C	hr	3.0	Christiano R	2014
YER127W	hr	11.0	Christiano R	2014
YER128W	hr	5.1	Christiano R	2014
YER129W	hr	47.1	Christiano R	2014
YER131W	hr	11.2	Christiano R	2014
YER132C	hr	9.5	Christiano R	2014
YER133W	hr	15.7	Christiano R	2014
YER134C	hr	9.3	Christiano R	2014
YER136W	hr	11.0	Christiano R	2014
YER137C	hr	8.5	Christiano R	2014
YER138C	hr	5.0	Christiano R	2014
YER139C	hr	5.8	Christiano R	2014
YER141W	hr	32.5	Christiano R	2014
YER143W	hr	6.2	Christiano R	2014
YER144C	hr	10000.0	Christiano R	2014
YER145C	hr	5.1	Christiano R	2014
YER146W	hr	9.4	Christiano R	2014
YER147C	hr	18.1	Christiano R	2014
YER148W	hr	4.8	Christiano R	2014
YER149C	hr	9.5	Christiano R	2014
YER151C	hr	10.3	Christiano R	2014
YER152C	hr	18.2	Christiano R	2014
YER154W	hr	11.2	Christiano R	2014
YER155C	hr	6.8	Christiano R	2014
YER156C	hr	11.6	Christiano R	2014
YER157W	hr	9.8	Christiano R	2014
YER159C	hr	7.0	Christiano R	2014
YER161C	hr	4.8	Christiano R	2014
YER162C	hr	1.4	Christiano R	2014
YER163C	hr	10.1	Christiano R	2014
YER165W	hr	9.6	Christiano R	2014
YER166W	hr	9.4	Christiano R	2014
YER167W	hr	2.4	Christiano R	2014
YER168C	hr	9.4	Christiano R	2014
YER169W	hr	6.6	Christiano R	2014
YER170W	hr	2.8	Christiano R	2014
YER171W	hr	8.4	Christiano R	2014
YER172C	hr	7.5	Christiano R	2014
YER174C	hr	9.9	Christiano R	2014
YER175C	hr	10000.0	Christiano R	2014
YER176W	hr	12.1	Christiano R	2014
YER177W	hr	11.6	Christiano R	2014
YER178W	hr	8.6	Christiano R	2014
YER180C-A	hr	5.5	Christiano R	2014
YER182W	hr	9.8	Christiano R	2014
YER183C	hr	9.9	Christiano R	2014
YFL001W	hr	8.3	Christiano R	2014
YFL002C	hr	7.4	Christiano R	2014
YFL004W	hr	10.2	Christiano R	2014
YFL005W	hr	9.9	Christiano R	2014
YFL007W	hr	5.8	Christiano R	2014
YFL008W	hr	8.6	Christiano R	2014
YFL009W	hr	1.0	Christiano R	2014
YFL010C	hr	7.5	Christiano R	2014
YFL013C	hr	8.2	Christiano R	2014
YFL014W	hr	9.1	Christiano R	2014
YFL016C	hr	11.8	Christiano R	2014
YFL017C	hr	10.5	Christiano R	2014
YFL017W-A	hr	8.8	Christiano R	2014
YFL018C	hr	10.0	Christiano R	2014
YFL021W	hr	2.8	Christiano R	2014
YFL023W	hr	7.9	Christiano R	2014
YFL024C	hr	8.0	Christiano R	2014
YFL027C	hr	7.6	Christiano R	2014
YFL028C	hr	10.7	Christiano R	2014
YFL029C	hr	16.9	Christiano R	2014
YFL033C	hr	5.5	Christiano R	2014
YFL034C-A	hr	9.8	Christiano R	2014
YFL034C-B	hr	5.7	Christiano R	2014
YFL034W	hr	8.2	Christiano R	2014
YFL036W	hr	2.8	Christiano R	2014
YFL037W	hr	11.1	Christiano R	2014
YFL038C	hr	10.9	Christiano R	2014
YFL039C	hr	10.4	Christiano R	2014
YFL041W	hr	5.7	Christiano R	2014
YFL042C	hr	5.4	Christiano R	2014
YFL044C	hr	7.1	Christiano R	2014
YFL045C	hr	10.8	Christiano R	2014
YFL046W	hr	7.7	Christiano R	2014
YFL047W	hr	7.8	Christiano R	2014
YFL048C	hr	7.2	Christiano R	2014
YFL049W	hr	8.3	Christiano R	2014
YFR001W	hr	9.4	Christiano R	2014
YFR002W	hr	10.2	Christiano R	2014
YFR004W	hr	10.3	Christiano R	2014
YFR005C	hr	7.0	Christiano R	2014
YFR006W	hr	10.6	Christiano R	2014
YFR007W	hr	10.8	Christiano R	2014
YFR008W	hr	8.1	Christiano R	2014
YFR009W	hr	10.4	Christiano R	2014
YFR010W	hr	9.2	Christiano R	2014
YFR011C	hr	5.3	Christiano R	2014
YFR014C	hr	8.7	Christiano R	2014
YFR015C	hr	85.3	Christiano R	2014
YFR016C	hr	8.8	Christiano R	2014
YFR019W	hr	6.8	Christiano R	2014
YFR021W	hr	10.0	Christiano R	2014
YFR024C-A	hr	12.9	Christiano R	2014
YFR025C	hr	9.5	Christiano R	2014
YFR028C	hr	8.7	Christiano R	2014
YFR029W	hr	4.3	Christiano R	2014
YFR030W	hr	7.9	Christiano R	2014
YFR032C-A	hr	12.2	Christiano R	2014
YFR033C	hr	14.0	Christiano R	2014
YFR034C	hr	2.9	Christiano R	2014
YFR036W	hr	3.9	Christiano R	2014
YFR037C	hr	9.9	Christiano R	2014
YFR038W	hr	3.9	Christiano R	2014
YFR039C	hr	5.4	Christiano R	2014
YFR040W	hr	8.7	Christiano R	2014
YFR041C	hr	7.6	Christiano R	2014
YFR043C	hr	5.7	Christiano R	2014
YFR044C	hr	10.8	Christiano R	2014
YFR047C	hr	8.6	Christiano R	2014
YFR049W	hr	5.0	Christiano R	2014
YFR050C	hr	12.4	Christiano R	2014
YFR051C	hr	12.4	Christiano R	2014
YFR052W	hr	10.9	Christiano R	2014
YFR053C	hr	11.4	Christiano R	2014
YGL001C	hr	12.1	Christiano R	2014
YGL002W	hr	5.6	Christiano R	2014
YGL004C	hr	5.6	Christiano R	2014
YGL005C	hr	9.5	Christiano R	2014
YGL006W	hr	6.0	Christiano R	2014
YGL009C	hr	23.1	Christiano R	2014
YGL011C	hr	10.6	Christiano R	2014
YGL012W	hr	12.0	Christiano R	2014
YGL013C	hr	11.4	Christiano R	2014
YGL014W	hr	10.0	Christiano R	2014
YGL016W	hr	9.0	Christiano R	2014
YGL017W	hr	4.0	Christiano R	2014
YGL018C	hr	14.2	Christiano R	2014
YGL019W	hr	11.9	Christiano R	2014
YGL020C	hr	8.1	Christiano R	2014
YGL021W	hr	1.1	Christiano R	2014
YGL022W	hr	8.4	Christiano R	2014
YGL023C	hr	9.5	Christiano R	2014
YGL025C	hr	6.8	Christiano R	2014
YGL026C	hr	14.1	Christiano R	2014
YGL027C	hr	6.2	Christiano R	2014
YGL028C	hr	3.1	Christiano R	2014
YGL029W	hr	4.3	Christiano R	2014
YGL030W	hr	10.1	Christiano R	2014
YGL031C	hr	9.9	Christiano R	2014
YGL035C	hr	3.7	Christiano R	2014
YGL036W	hr	4.0	Christiano R	2014
YGL037C	hr	17.1	Christiano R	2014
YGL038C	hr	3.7	Christiano R	2014
YGL039W	hr	42.4	Christiano R	2014
YGL040C	hr	16.7	Christiano R	2014
YGL041W-A	hr	8.3	Christiano R	2014
YGL043W	hr	9.5	Christiano R	2014
YGL047W	hr	10.5	Christiano R	2014
YGL048C	hr	11.9	Christiano R	2014
YGL049C	hr	11.7	Christiano R	2014
YGL050W	hr	9.2	Christiano R	2014
YGL053W	hr	3.5	Christiano R	2014
YGL055W	hr	6.5	Christiano R	2014
YGL056C	hr	8.3	Christiano R	2014
YGL057C	hr	3.8	Christiano R	2014
YGL060W	hr	9.5	Christiano R	2014
YGL061C	hr	7.0	Christiano R	2014
YGL062W	hr	10.6	Christiano R	2014
YGL064C	hr	7.3	Christiano R	2014
YGL065C	hr	8.9	Christiano R	2014
YGL066W	hr	4.8	Christiano R	2014
YGL067W	hr	13.9	Christiano R	2014
YGL068W	hr	8.7	Christiano R	2014
YGL073W	hr	10.4	Christiano R	2014
YGL075C	hr	5.2	Christiano R	2014
YGL076C	hr	9.6	Christiano R	2014
YGL077C	hr	2.0	Christiano R	2014
YGL078C	hr	8.4	Christiano R	2014
YGL080W	hr	5.4	Christiano R	2014
YGL082W	hr	10.7	Christiano R	2014
YGL083W	hr	8.4	Christiano R	2014
YGL086W	hr	9.2	Christiano R	2014
YGL087C	hr	10.5	Christiano R	2014
YGL091C	hr	6.3	Christiano R	2014
YGL092W	hr	9.0	Christiano R	2014
YGL093W	hr	5.9	Christiano R	2014
YGL094C	hr	10.8	Christiano R	2014
YGL095C	hr	7.3	Christiano R	2014
YGL097W	hr	10.1	Christiano R	2014
YGL098W	hr	5.9	Christiano R	2014
YGL099W	hr	10.2	Christiano R	2014
YGL100W	hr	9.6	Christiano R	2014
YGL101W	hr	7.8	Christiano R	2014
YGL103W	hr	10.1	Christiano R	2014
YGL105W	hr	10.6	Christiano R	2014
YGL106W	hr	9.5	Christiano R	2014
YGL108C	hr	9.5	Christiano R	2014
YGL110C	hr	10.1	Christiano R	2014
YGL111W	hr	8.8	Christiano R	2014
YGL112C	hr	8.7	Christiano R	2014
YGL115W	hr	11.6	Christiano R	2014
YGL117W	hr	18.0	Christiano R	2014
YGL119W	hr	9.6	Christiano R	2014
YGL120C	hr	9.2	Christiano R	2014
YGL122C	hr	9.2	Christiano R	2014
YGL123W	hr	10.3	Christiano R	2014
YGL124C	hr	10.7	Christiano R	2014
YGL125W	hr	9.5	Christiano R	2014
YGL129C	hr	5.6	Christiano R	2014
YGL130W	hr	10.7	Christiano R	2014
YGL133W	hr	8.9	Christiano R	2014
YGL136C	hr	10000.0	Christiano R	2014
YGL137W	hr	10.4	Christiano R	2014
YGL139W	hr	5.1	Christiano R	2014
YGL141W	hr	8.1	Christiano R	2014
YGL143C	hr	13.8	Christiano R	2014
YGL144C	hr	6.9	Christiano R	2014
YGL145W	hr	9.0	Christiano R	2014
YGL147C	hr	10.6	Christiano R	2014
YGL148W	hr	11.7	Christiano R	2014
YGL150C	hr	6.8	Christiano R	2014
YGL151W	hr	10.2	Christiano R	2014
YGL153W	hr	6.7	Christiano R	2014
YGL154C	hr	12.6	Christiano R	2014
YGL155W	hr	10.0	Christiano R	2014
YGL156W	hr	10000.0	Christiano R	2014
YGL157W	hr	9.9	Christiano R	2014
YGL159W	hr	10.4	Christiano R	2014
YGL161C	hr	11.0	Christiano R	2014
YGL164C	hr	9.8	Christiano R	2014
YGL167C	hr	10.2	Christiano R	2014
YGL169W	hr	12.7	Christiano R	2014
YGL171W	hr	6.7	Christiano R	2014
YGL172W	hr	12.3	Christiano R	2014
YGL173C	hr	11.0	Christiano R	2014
YGL174W	hr	6.5	Christiano R	2014
