Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
YAR031W	hr	2.0	Christiano R	2014
YAR042W	hr	11.5	Christiano R	2014
YBL004W	hr	6.2	Christiano R	2014
YBL005W-B	hr	11.5	Christiano R	2014
YBL006C	hr	7.0	Christiano R	2014
YBL007C	hr	10.1	Christiano R	2014
YBL008W	hr	8.6	Christiano R	2014
YBL010C	hr	10.1	Christiano R	2014
YBL011W	hr	7.6	Christiano R	2014
YBL013W	hr	28.6	Christiano R	2014
YBL015W	hr	9.5	Christiano R	2014
YBL016W	hr	4.4	Christiano R	2014
YBL017C	hr	8.8	Christiano R	2014
YBL018C	hr	4.7	Christiano R	2014
YBL022C	hr	8.7	Christiano R	2014
YBL023C	hr	12.1	Christiano R	2014
YBL024W	hr	9.9	Christiano R	2014
YBL025W	hr	4.3	Christiano R	2014
YBL026W	hr	9.4	Christiano R	2014
YBL028C	hr	2.4	Christiano R	2014
YBL029C-A	hr	10.4	Christiano R	2014
YBL030C	hr	6.8	Christiano R	2014
YBL031W	hr	2.4	Christiano R	2014
YBL032W	hr	12.0	Christiano R	2014
YBL033C	hr	6.5	Christiano R	2014
YBL034C	hr	9.2	Christiano R	2014
YBL035C	hr	7.2	Christiano R	2014
YBL036C	hr	6.3	Christiano R	2014
YBL037W	hr	8.4	Christiano R	2014
YBL038W	hr	30.4	Christiano R	2014
YBL039C	hr	9.5	Christiano R	2014
YBL041W	hr	10.6	Christiano R	2014
YBL042C	hr	1.7	Christiano R	2014
YBL045C	hr	8.9	Christiano R	2014
YBL046W	hr	6.9	Christiano R	2014
YBL047C	hr	11.5	Christiano R	2014
YBL050W	hr	11.5	Christiano R	2014
YBL051C	hr	7.4	Christiano R	2014
YBL054W	hr	3.3	Christiano R	2014
YBL055C	hr	7.9	Christiano R	2014
YBL056W	hr	9.3	Christiano R	2014
YBL057C	hr	10.6	Christiano R	2014
YBL058W	hr	9.3	Christiano R	2014
YBL059C-A	hr	2.0	Christiano R	2014
YBL061C	hr	5.4	Christiano R	2014
YBL064C	hr	10.2	Christiano R	2014
YBL066C	hr	9.8	Christiano R	2014
YBL067C	hr	9.7	Christiano R	2014
YBL068W	hr	10.1	Christiano R	2014
YBL074C	hr	8.9	Christiano R	2014
YBL075C	hr	11.0	Christiano R	2014
YBL076C	hr	10.8	Christiano R	2014
YBL078C	hr	5.4	Christiano R	2014
YBL079W	hr	10.5	Christiano R	2014
YBL080C	hr	6.9	Christiano R	2014
YBL081W	hr	2.5	Christiano R	2014
YBL082C	hr	8.1	Christiano R	2014
YBL085W	hr	5.6	Christiano R	2014
YBL086C	hr	4.3	Christiano R	2014
YBL090W	hr	4.6	Christiano R	2014
YBL091C	hr	9.8	Christiano R	2014
YBL091C-A	hr	6.8	Christiano R	2014
YBL092W	hr	9.9	Christiano R	2014
