UID,BC187_YPD_Avg_log2_Fitness_Score,BC187_FDR,BY4743_YPD_Avg_log2_Fitness_Score,BY4743_FDR,DBVPG1373_YPD_Avg_log2_Fitness_Score,DBVPG1373_FDR,NCYC3290_YPD_Avg_log2_Fitness_Score,NCYC3290_FDR,Y12_YPD_Avg_log2_Fitness_Score,Y12_FDR,Y2209_YPD_Avg_log2_Fitness_Score,Y2209_FDR,Y389_YPD_Avg_log2_Fitness_Score,Y389_FDR,Y7568_YPD_Avg_log2_Fitness_Score,Y7568_FDR,YJM1273_YPD_Avg_log2_Fitness_Score,YJM1273_FDR,YJM1389_YPD_Avg_log2_Fitness_Score,YJM1389_FDR,YJM1592_YPD_Avg_log2_Fitness_Score,YJM1592_FDR,YJM978_YPD_Avg_log2_Fitness_Score,YJM978_FDR,YPS128_YPD_Avg_log2_Fitness_Score,YPS128_FDR,YPS163_YPD_Avg_log2_Fitness_Score,YPS163_FDR,YPS606_YPD_Avg_log2_Fitness_Score,YPS606_FDR
YJL155C,-0.173386226,0.161168473,0.084036693,0.443014298,-0.177904194,0.049754624,-0.458269329,0.070030142,-1.241859421,6.98E-09,-0.162514905,0.568904578,0.490804985,0.0000219,0.135486075,0.125004849,0.263136068,0.052168089,-0.304370866,0.065317244,-0.079427269,0.781454363,0.431678044,0.033653723,-2.110825628,6.19E-10,-0.246536129,0.060817638,-0.044304463,0.938673686
YOR101W,0.168017469,0.128625843,0.189696383,0.101368937,0.048397166,0.656483727,0.474053011,0.089998172,-0.560752664,0.017538816,0.756958653,0.000047,1.084849885,8.7E-21,0.061566159,0.556218658,0.205045397,0.143515562,0.123271036,0.458655714,0.160837656,0.476010775,0.451070561,0.00834753,0.573380139,0.004828564,0.003183058,0.99356554,0.006181565,0.98949137
YPL206C,-0.228018284,0.103955024,-0.214011391,0.042119668,-0.237465665,0.034984511,0.026792302,0.948793968,-0.568222404,0.00928365,-0.648625639,0.001627055,-0.175992135,0.298640751,0.139455333,0.208461491,-0.054999345,0.712070338,-0.104854342,0.562127195,0.265530007,0.150827121,-0.519724716,0.022364799,-0.590384131,0.022162404,-0.067869432,0.58013633,-0.277584001,0.538877885
YER085C,0.157716431,0.214294587,0.249677021,0.007128403,0.27645442,0.000411318,0.091647891,0.76940026,-1.061220432,0.0000256,0.211867039,0.414954085,-0.125839399,0.570488723,0.171714003,0.105756384,0.142952086,0.377771564,0.134672118,0.472826504,-0.211752685,0.374602335,0.564926682,0.008729335,0.462314959,0.026049293,-0.057595305,0.743732915,-0.070830868,0.900963712
YGL026C,-0.323960527,0.133685048,-0.156212258,0.447217182,#N/A,#N/A,-4.242198173,8.66E-13,-2.141850702,7.49E-09,-0.099610848,0.818798296,0.02345138,0.937497356,-0.195890596,0.232585116,-0.478227063,0.106110276,-0.010044997,0.944179367,-0.108266252,0.814408112,-1.308514866,0.01718939,#N/A,#N/A,-0.055056304,0.739951152,-0.117449184,0.875071645
YMR032W,0.248697609,0.22532664,-0.228516671,0.36596385,#N/A,#N/A,-0.266009039,0.693551774,-1.473727112,0.00000505,-0.117842164,0.855612319,0.448528848,0.045284949,-0.150631727,0.318378728,-2.329182753,0.00000158,-1.090674396,0.0000493,-0.889212139,0.024667668,-2.013848585,0.000000448,-1.365556149,0.006553055,-0.219978525,0.088780405,#N/A,#N/A
YIL153W,0.329044753,0.050430209,0.340435822,0.0130706,-0.019203157,0.884214932,-1.499005807,0.0000804,-0.672482881,0.007128498,0.298242178,0.338780383,-0.699223775,0.002176697,0.37018588,0.000512434,-0.391459618,0.145744502,-0.75733381,0.000736148,0.485626579,0.014085263,0.640624419,0.000854345,-1.250453709,0.002535049,-0.026489052,0.852431282,0.30390212,0.499992074
YLR170C,0.347039662,0.087218143,0.38021319,0.049637023,#N/A,#N/A,-0.317574522,0.394028768,-1.897370642,0.000180755,0.189040489,0.782568888,0.56463716,0.026024677,0.150590266,0.489576754,#N/A,#N/A,-0.335644624,0.309648183,-0.860778182,0.03331383,0.629926915,0.032718404,-1.410099207,0.025893635,-0.2769223,0.145491906,#N/A,#N/A
YLR135W,-0.254146531,0.161763521,0.054387317,0.741823618,-0.500794631,0.0000908,-2.468084612,6.38E-09,-0.351989179,0.178663452,0.280955414,0.454232345,0.324231619,0.016507245,-0.566160106,0.00000206,0.166398822,0.509236278,-0.202077059,0.286335675,0.516671264,0.024014256,-0.733338589,0.030561735,-1.0357052,0.011800954,0.20343346,0.137796794,0.91827156,0.003661856
YIL014W,-0.019209522,0.922376005,0.502297736,0.00011419,-0.379079783,0.064573716,-1.170675712,0.033379725,-2.491854983,2.35E-10,-0.579594996,0.01448317,-1.011060048,0.0000133,-0.316314641,0.012654686,-4.713441282,1.13E-19,-1.032233556,0.0000102,-0.280669441,0.500429476,-0.262573431,0.425874534,-4.646687115,5.11E-10,0.169412845,0.272604079,-0.477428768,0.586722708
YKL022C,0.022526373,0.890621126,0.100717905,0.632526741,-0.455152098,0.002561827,-1.769387167,0.000499049,-1.17663723,0.001035973,0.052683821,0.901286757,-0.693599804,0.002981552,-0.343617563,0.014226493,-1.904855889,4.07E-08,-0.850192556,0.000364106,0.228732008,0.539920346,-0.218777291,0.531508057,-0.974557935,0.002978549,-0.020240052,0.916130995,-0.363375732,0.510132174
