ORF	clone identifier
YBL013W	YBL013W::20NP_A10
YBL015W	YBL015W::20NP_A11
YBL016W	YBL016W::20NP_A12
YBL017C	YBL017C::20NP_B1
YBL018C	YBL018C::1EP_B3
YBL019W	YBL019W::20NP_B2
YBL020W	YBL020W::1EP_B4
YBL021C	YBL021C::20NP_B3
YBL022C	YBL022C::47NP_C7
YBL023C	YBL023C::1EP_B5
YBL024W	YBL024W::20NP_B4
YBL025W	YBL025W::20NP_B5
YBL026W	YBL026W::1EP_B6
YBL027W	YBL027W::20NP_B6
YBL028C	YBL028C::20NP_B7
YBL029C-A	YBL029C-A::43NP_A6
YBL029W	YBL029W::20NP_B8
YBL030C	YBL030C::1EP_B7
YBL031W	YBL031W::20NP_B9
YBL032W	YBL032W::20NP_B10
YBL033C	YBL033C::20NP_B11
YBL034C	YBL034C::1EP_B8
YBL035C	YBL035C::1EP_B9
YBL036C	YBL036C::20NP_B12
YBL037W	YBL037W::20NP_C1
YBL038W	YBL038W::20NP_C2
YBL039C	YBL039C::20NP_C3
YBL040C	YBL040C::1EP_B10
YBL041W	YBL041W::1EP_B11
YBL042C	YBL042C::20NP_C4
YBL043W	YBL043W::42NP_B1
YBL045C	YBL045C::20NP_C5
YBL046W	YBL046W::20NP_C6
YBL047C	YBL047C::20NP_C7
YBL049W	YBL049W::20NP_C8
YBL050W	YBL050W::1EP_B12
YBL051C	YBL051C::41NP_D3
YBL052C	YBL052C::20NP_C9
YBL054W	YBL054W::20NP_C10
YBL055C	YBL055C::47NP_C8
YBL056W	YBL056W::20NP_C11
YBL057C	YBL057C::20NP_C12
YBL058W	YBL058W::20NP_D1
YBL059W	YBL059W::20NP_D2
YBL060W	YBL060W::39NP_G2
YBL061C	YBL061C::20NP_D3
YBL063W	YBL063W::20NP_D4
YBL064C	YBL064C::20NP_D5
YBL066C	YBL066C::20NP_D6
YBL067C	YBL067C::45NP_H11
YBL068W	YBL068W::20NP_D8
YBL069W	YBL069W::20NP_D9
YBL071C-B	YBL071C-B::43NP_A7
YBL071W-A	YBL071W-A::43NP_A8
YBL072C	YBL072C::20NP_D10
YBL074C	YBL074C::1EP_C1
YBL075C	YBL075C::20NP_D11
YBL076C	YBL076C::1EP_C2
YBL078C	YBL078C::20NP_D12
YBL079W	YBL079W::20NP_E1
YBL080C	YBL080C::20NP_E2
YBL081W	YBL081W::20NP_E3
YBL085W	YBL085W::20NP_E4
YBL086C	YBL086C::20NP_E5
YBL087C	YBL087C::20NP_E6
YBL089W	YBL089W::20NP_E7
YBL090W	YBL090W::20NP_E8
YBL091C	YBL091C::20NP_E9
YBL091C-A	YBL091C-A::2NP_A2
