ORF	clone identifier
YDL206W	YDL206W::46NP_A10
YDL207W	YDL207W::2EP_D5
YDL208W	YDL208W::2EP_D6
YDL209C	YDL209C::2EP_D7
YDL210W	YDL210W::26NP_H9
YDL211C	YDL211C::26NP_H10
YDL212W	YDL212W::2EP_D8
YDL213C	YDL213C::47NP_D8
YDL214C	YDL214C::26NP_H11
YDL215C	YDL215C::26NP_H12
YDL216C	YDL216C::27NP_A1
YDL217C	YDL217C::2EP_D9
YDL218W	YDL218W::27NP_A2
YDL219W	YDL219W::27NP_A3
YDL220C	YDL220C::2EP_D10
YDL222C	YDL222C::27NP_A4
YDL224C	YDL224C::27NP_A5
YDL227C	YDL227C::27NP_A8
YDL229W	YDL229W::27NP_A9
YDL230W	YDL230W::27NP_A10
YDL231C	YDL231C::27NP_A11
YDL233W	YDL233W::27NP_B1
YDL235C	YDL235C::2EP_D11
YDL236W	YDL236W::27NP_B3
YDL237W	YDL237W::27NP_B4
YDL239C	YDL239C::37NP_F9
YDL240W	YDL240W::27NP_B6
YDL241W	YDL241W::27NP_B7
YDR001C	YDR001C::27NP_B9
YDR002W	YDR002W::2EP_D12
YDR003W	YDR003W::27NP_B10
YDR003W-A	YDR003W-A::43NP_C5
YDR004W	YDR004W::27NP_B11
YDR005C	YDR005C::27NP_B12
YDR006C	YDR006C::27NP_C1
YDR007W	YDR007W::18NP_B9
YDR009W	YDR009W::27NP_C2
YDR011W	YDR011W::27NP_C3
YDR013W	YDR013W::2EP_E1
YDR014W	YDR014W::27NP_C4
YDR016C	YDR016C::2EP_E2
YDR017C	YDR017C::27NP_C5
YDR018C	YDR018C::27NP_C6
YDR019C	YDR019C::27NP_C7
YDR020C	YDR020C::27NP_C8
YDR021W	YDR021W::2EP_E3
YDR022C	YDR022C::27NP_C9
YDR023W	YDR023W::2EP_E4
YDR025W	YDR025W::27NP_C10
YDR026C	YDR026C::27NP_C11
YDR027C	YDR027C::27NP_C12
YDR028C	YDR028C::27NP_D1
YDR030C	YDR030C::37NP_F10
YDR031W	YDR031W::27NP_D2
YDR032C	YDR032C::27NP_D3
YDR033W	YDR033W::27NP_D4
YDR034W-B	YDR034W-B::43NP_C6
YDR035W	YDR035W::27NP_D5
YDR036C	YDR036C::27NP_D6
YDR037W	YDR037W::2EP_E5
YDR041W	YDR041W::2EP_E6
YDR044W	YDR044W::2EP_E7
YDR045C	YDR045C::2EP_E8
YDR046C	YDR046C::27NP_D9
YDR047W	YDR047W::2EP_E9
YDR049W	YDR049W::6NP_A7
YDR050C	YDR050C::12EP_C8
YDR051C	YDR051C::6NP_A8
YDR052C	YDR052C::2EP_E11
YDR054C	YDR054C::2EP_E12
YDR055W	YDR055W::47NP_D9
YDR056C	YDR056C::6NP_A9
YDR057W	YDR057W::6NP_A10
YDR058C	YDR058C::16NP_H12
YDR059C	YDR059C::6NP_A11
YDR060W	YDR060W::2EP_F1
YDR061W	YDR061W::6NP_A12
YDR062W	YDR062W::2EP_F2
YDR063W	YDR063W::6NP_B1
YDR064W	YDR064W::2EP_F3
YDR065W	YDR065W::6NP_B2
YDR066C	YDR066C::6NP_B3
YDR067C	YDR067C::6NP_B4
YDR068W	YDR068W::6NP_B5
YDR069C	YDR069C::39NP_G12
YDR070C	YDR070C::6NP_B6
YDR071C	YDR071C::47NP_B4
YDR072C	YDR072C::6NP_B7
YDR073W	YDR073W::6NP_B8
YDR074W	YDR074W::2NP_A7
YDR075W	YDR075W::39NP_H1
YDR076W	YDR076W::6NP_B9
YDR077W	YDR077W::6NP_B10
YDR078C	YDR078C::6NP_B11
YDR079C-A	YDR079C-A::43NP_C7
YDR079W	YDR079W::6NP_B12
YDR080W	YDR080W::6NP_C1
YDR081C	YDR081C::2EP_F4
YDR082W	YDR082W::2EP_F5
YDR083W	YDR083W::6NP_C2
YDR084C	YDR084C::6NP_C3
YDR085C	YDR085C::6NP_C4
YDR086C	YDR086C::2EP_F6
YDR087C	YDR087C::2EP_F7
YDR088C	YDR088C::2EP_F8
YDR090C	YDR090C::6NP_C5
YDR091C	YDR091C::2EP_F9
YDR092W	YDR092W::42NP_C3
YDR092W	YDR092W::44NP_D8
YDR096W	YDR096W::6NP_C7
YDR098C	YDR098C::6NP_C8
YDR099W	YDR099W::6NP_C9
YDR100W	YDR100W::6NP_C10
YDR101C	YDR101C::6NP_C11
YDR103W	YDR103W::6NP_C12
YDR104C	YDR104C::6NP_D1
YDR107C	YDR107C::6NP_D3
YDR108W	YDR108W::6NP_D4
YDR109C	YDR109C::6NP_D5
YDR113C	YDR113C::2EP_F10
YDR115W	YDR115W::6NP_D8
YDR116C	YDR116C::6NP_D9
YDR117C	YDR117C::6NP_D10
YDR118W	YDR118W::2EP_F11
YDR119W	YDR119W::46NP_B1
YDR120C	YDR120C::6NP_D12
YDR121W	YDR121W::6NP_E1
YDR122W	YDR122W::46NP_B2
YDR123C	YDR123C::6NP_E3
YDR124W	YDR124W::6NP_E4
YDR125C	YDR125C::6NP_E5
YDR128W	YDR128W::6NP_E7
YDR130C	YDR130C::6NP_E8
YDR131C	YDR131C::6NP_E9
YDR137W	YDR137W::6NP_E12
YDR138W	YDR138W::6NP_F1
YDR139C	YDR139C::6NP_F2
YDR141C	YDR141C::2EP_F12
YDR142C	YDR142C::6NP_F3
YDR143C	YDR143C::6NP_F4
YDR144C	YDR144C::37NP_F12
YDR145W	YDR145W::12EP_C9
YDR146C	YDR146C::6NP_F5
YDR147W	YDR147W::44NP_D9
YDR148C	YDR148C::24NP_B11
YDR150W	YDR150W::24NP_B12
YDR151C	YDR151C::24NP_C1
YDR152W	YDR152W::24NP_C2
YDR153C	YDR153C::37NP_G1
YDR155C	YDR155C::24NP_C3
YDR156W	YDR156W::24NP_C4
YDR158W	YDR158W::42NP_C4
YDR159W	YDR159W::39NP_H3
YDR162C	YDR162C::24NP_C5
YDR163W	YDR163W::24NP_C6
YDR164C	YDR164C::2EP_G3
YDR165W	YDR165W::24NP_C7
YDR166C	YDR166C::2EP_G4
YDR167W	YDR167W::2EP_G5
YDR168W	YDR168W::2EP_G6
YDR169C	YDR169C::24NP_C8
YDR169C-A	YDR169C-A::43NP_C8
YDR171W	YDR171W::24NP_C9
YDR172W	YDR172W::2EP_G8
YDR173C	YDR173C::42NP_C5
YDR174W	YDR174W::41NP_C6
YDR175C	YDR175C::24NP_C10
YDR176W	YDR176W::24NP_C11
YDR177W	YDR177W::2EP_G9
YDR178W	YDR178W::24NP_C12
YDR179C	YDR179C::24NP_D1
YDR179W-A	YDR179W-A::24NP_D2
YDR180W	YDR180W::2EP_G10
YDR181C	YDR181C::24NP_D3
YDR182W	YDR182W::2EP_G11
YDR183W	YDR183W::47NP_D10
YDR184C	YDR184C::24NP_D4
YDR186C	YDR186C::24NP_D6
YDR188W	YDR188W::2EP_G12
YDR189W	YDR189W::2EP_H1
YDR191W	YDR191W::24NP_D7
YDR192C	YDR192C::24NP_D8
YDR194C	YDR194C::24NP_D9
YDR194W-A	YDR194W-A::43NP_C9
YDR195W	YDR195W::24NP_D10
YDR196C	YDR196C::2EP_H3
YDR197W	YDR197W::24NP_D11
YDR198C	YDR198C::24NP_D12
YDR200C	YDR200C::24NP_E1
YDR201W	YDR201W::2EP_H4
YDR202C	YDR202C::17NP_A1
YDR204W	YDR204W::24NP_E2
YDR205W	YDR205W::17NP_A2
YDR208W	YDR208W::2EP_H5
YDR211W	YDR211W::12EP_C11
YDR212W	YDR212W::12EP_C12
YDR213W	YDR213W::24NP_E4
YDR214W	YDR214W::24NP_E5
YDR218C	YDR218C::24NP_E6
YDR219C	YDR219C::24NP_E7
YDR221W	YDR221W::24NP_E8
YDR222W	YDR222W::24NP_E9
YDR223W	YDR223W::24NP_E10
YDR224C	YDR224C::2EP_H8
YDR224C	YDR224C::13EP_C2
YDR225W	YDR225W::24NP_E11
YDR226W	YDR226W::24NP_E12
YDR228C	YDR228C::2EP_H9
YDR229W	YDR229W::24NP_F2
YDR231C	YDR231C::24NP_F3
YDR232W	YDR232W::2EP_H10
YDR233C	YDR233C::24NP_F4
YDR234W	YDR234W::24NP_F5
YDR235W	YDR235W::2EP_H11
YDR236C	YDR236C::2EP_H12
YDR237W	YDR237W::24NP_F6
YDR238C	YDR238C::3EP_A1
YDR240C	YDR240C::3EP_A2
YDR242W	YDR242W::39NP_E8
YDR243C	YDR243C::3EP_A3
YDR244W	YDR244W::39NP_H4
YDR245W	YDR245W::2NP_D3
YDR246W	YDR246W::3EP_A4
YDR246W-A	YDR246W-A::43NP_C10
YDR247W	YDR247W::2NP_D4
YDR248C	YDR248C::2NP_D5
YDR249C	YDR249C::2NP_D6
YDR251W	YDR251W::2NP_D7
YDR252W	YDR252W::2NP_D8
YDR253C	YDR253C::2NP_D9
YDR254W	YDR254W::2NP_D10
YDR255C	YDR255C::2NP_D11
YDR256C	YDR256C::2NP_D12
YDR257C	YDR257C::2NP_E1
YDR258C	YDR258C::46NP_B5
YDR259C	YDR259C::2NP_E3
YDR261C	YDR261C::2NP_E5
YDR263C	YDR263C::2NP_E7
YDR264C	YDR264C::2NP_E8
YDR265W	YDR265W::2NP_E9
YDR266C	YDR266C::2NP_E10
YDR268W	YDR268W::2NP_E11
YDR270W	YDR270W::2NP_E12
YDR272W	YDR272W::2NP_F1
YDR273W	YDR273W::2NP_F2
YDR275W	YDR275W::2NP_F3
YDR276C	YDR276C::2NP_F4
YDR277C	YDR277C::2NP_F5
YDR279W	YDR279W::2NP_F6
YDR280W	YDR280W::3EP_A5
YDR282C	YDR282C::42NP_C6
YDR283C	YDR283C::37NP_G3
YDR284C	YDR284C::2NP_F7
YDR285W	YDR285W::37NP_G4
YDR286C	YDR286C::2NP_F8
YDR287W	YDR287W::2NP_F9
YDR288W	YDR288W::3EP_A6
YDR289C	YDR289C::2NP_F10
YDR292C	YDR292C::3EP_A7
YDR294C	YDR294C::2NP_F12
YDR295C	YDR295C::2NP_G1
YDR296W	YDR296W::2NP_G2
YDR297W	YDR297W::2NP_G3
YDR299W	YDR299W::3EP_A8
YDR300C	YDR300C::2NP_G4
YDR301W	YDR301W::3EP_A9
YDR303C	YDR303C::3EP_A11
YDR304C	YDR304C::2NP_G5
YDR305C	YDR305C::2NP_G6
YDR306C	YDR306C::2NP_G7
YDR307W	YDR307W::2NP_G8
YDR308C	YDR308C::3EP_A12
YDR309C	YDR309C::2NP_G9
YDR310C	YDR310C::2NP_G10
YDR311W	YDR311W::3EP_B1
YDR312W	YDR312W::2NP_G11
YDR314C	YDR314C::2NP_G12
YDR315C	YDR315C::42NP_C7
YDR315C	YDR315C::44NP_D11
YDR316W	YDR316W::2NP_H1
YDR317W	YDR317W::2NP_H2
YDR318W	YDR318W::2NP_H3
YDR319C	YDR319C::37NP_G6
YDR320C	YDR320C::2NP_H4
YDR321W	YDR321W::2NP_H5
YDR322W	YDR322W::2NP_H6
YDR323C	YDR323C::2NP_H7
YDR324C	YDR324C::3EP_B2
YDR325W	YDR325W::3EP_B3
YDR328C	YDR328C::3EP_B4
YDR330W	YDR330W::2NP_H9
YDR331W	YDR331W::3EP_B5
YDR332W	YDR332W::2NP_H10
YDR333C	YDR333C::37NP_G7
YDR336W	YDR336W::37NP_G8
YDR337W	YDR337W::2NP_H12
YDR339C	YDR339C::3EP_B6
YDR341C	YDR341C::3EP_B7
YDR346C	YDR346C::47NP_D11
YDR347W	YDR347W::3NP_G5
YDR348C	YDR348C::3NP_G6
YDR350C	YDR350C::3NP_G8
YDR352W	YDR352W::3NP_G10
YDR353W	YDR353W::3EP_B8
YDR354W	YDR354W::3NP_G11
YDR356W	YDR356W::3EP_B9
YDR357C	YDR357C::37NP_G10
YDR358W	YDR358W::3NP_G12
YDR359C	YDR359C::3NP_H1
YDR361C	YDR361C::3EP_B10
YDR363W-A	YDR363W-A::22NP_F7
YDR364C	YDR364C::37NP_G11
YDR365C	YDR365C::3EP_B12
YDR367W	YDR367W::3EP_C1
YDR368W	YDR368W::3NP_H3
YDR369C	YDR369C::39NP_H6
YDR370C	YDR370C::3NP_H4
YDR371W	YDR371W::3NP_H5
YDR372C	YDR372C::3NP_H6
YDR373W	YDR373W::3EP_C2
YDR374C	YDR374C::42NP_C8
YDR375C	YDR375C::42NP_C9
YDR376W	YDR376W::3EP_C3
YDR377W	YDR377W::3NP_H7
YDR378C	YDR378C::3NP_H8
YDR379C-A	YDR379C-A::43NP_C11
YDR379W	YDR379W::3NP_H9
YDR381W	YDR381W::3EP_C4
YDR382W	YDR382W::3NP_H11
YDR383C	YDR383C::3NP_H12
YDR384C	YDR384C::4NP_A1
YDR385W	YDR385W::4NP_A2
YDR386W	YDR386W::4NP_A3
YDR387C	YDR387C::4NP_A4
YDR388W	YDR388W::4NP_A5
YDR389W	YDR389W::4NP_A6
YDR390C	YDR390C::3EP_C5
YDR391C	YDR391C::4NP_A7
YDR392W	YDR392W::42NP_C10
YDR393W	YDR393W::4NP_A8
YDR394W	YDR394W::3EP_C6
YDR395W	YDR395W::4NP_A9
YDR397C	YDR397C::3EP_C7
YDR399W	YDR399W::4NP_A10
YDR400W	YDR400W::4NP_A11
YDR402C	YDR402C::47NP_D12
YDR403W	YDR403W::4NP_A12
YDR404C	YDR404C::3EP_C9
YDR405W	YDR405W::4NP_B1
YDR407C	YDR407C::3EP_C10
YDR408C	YDR408C::42NP_C11
YDR409W	YDR409W::4NP_B2
YDR410C	YDR410C::4NP_B3
YDR411C	YDR411C::4NP_B4
YDR412W	YDR412W::3EP_C11
YDR414C	YDR414C::42NP_C12
YDR416W	YDR416W::3EP_C12
YDR418W	YDR418W::4NP_B5
YDR419W	YDR419W::37NP_G12
YDR421W	YDR421W::4NP_B7
YDR422C	YDR422C::4NP_B8
YDR423C	YDR423C::4NP_B9
YDR425W	YDR425W::4NP_B10
YDR427W	YDR427W::3EP_D1
YDR428C	YDR428C::4NP_B11
YDR429C	YDR429C::3EP_D2
YDR430C	YDR430C::4NP_B12
YDR432W	YDR432W::4NP_C1
YDR434W	YDR434W::3EP_D3
YDR435C	YDR435C::4NP_C2
YDR436W	YDR436W::4NP_C3
YDR437W	YDR437W::3EP_D4
YDR438W	YDR438W::27NP_D10
YDR439W	YDR439W::27NP_D11
YDR440W	YDR440W::27NP_D12
YDR446W	YDR446W::27NP_E2
YDR447C	YDR447C::27NP_E3
YDR448W	YDR448W::47NP_E3
YDR449C	YDR449C::3EP_D5
YDR450W	YDR450W::27NP_E4
YDR451C	YDR451C::27NP_E5
YDR452W	YDR452W::27NP_E6
YDR453C	YDR453C::27NP_E7
YDR454C	YDR454C::3EP_D6
YDR456W	YDR456W::27NP_E8
YDR458C	YDR458C::27NP_E10
YDR459C	YDR459C::27NP_E11
YDR460W	YDR460W::3EP_D7
YDR461W	YDR461W::47NP_C2
YDR462W	YDR462W::27NP_E12
YDR463W	YDR463W::27NP_F1
YDR464W	YDR464W::3EP_D8
YDR465C	YDR465C::27NP_F2
YDR466W	YDR466W::27NP_F3
YDR468C	YDR468C::3EP_D9
YDR469W	YDR469W::27NP_F4
YDR470C	YDR470C::27NP_F5
YDR471W	YDR471W::27NP_F6
YDR472W	YDR472W::3EP_D10
YDR473C	YDR473C::3EP_D11
YDR475C	YDR475C::27NP_F7
YDR476C	YDR476C::27NP_F8
YDR477W	YDR477W::27NP_F9
YDR478W	YDR478W::3EP_D12
YDR479C	YDR479C::27NP_F10
YDR480W	YDR480W::27NP_F11
YDR481C	YDR481C::27NP_F12
YDR482C	YDR482C::27NP_G1
YDR483W	YDR483W::27NP_G2
YDR484W	YDR484W::27NP_G3
YDR485C	YDR485C::27NP_G4
YDR485C	YDR485C::44NP_E3
YDR486C	YDR486C::27NP_G5
YDR487C	YDR487C::3EP_E1
YDR488C	YDR488C::27NP_G6
YDR489W	YDR489W::3EP_E2
YDR490C	YDR490C::27NP_G7
YDR492W	YDR492W::27NP_G8
YDR493W	YDR493W::23NP_B10
YDR494W	YDR494W::27NP_G9
YDR495C	YDR495C::27NP_G10
YDR496C	YDR496C::27NP_G11
YDR497C	YDR497C::46NP_B10
YDR498C	YDR498C::3EP_E3
YDR499W	YDR499W::3EP_E4
YDR500C	YDR500C::23NP_B11
YDR501W	YDR501W::44NP_E4
YDR502C	YDR502C::23NP_B12
YDR503C	YDR503C::46NP_B11
YDR504C	YDR504C::27NP_H2
YDR505C	YDR505C::27NP_H3
YDR506C	YDR506C::23NP_C1
YDR508C	YDR508C::27NP_H5
YDR510W	YDR510W::3EP_E5
YDR511W	YDR511W::27NP_H6
YDR512C	YDR512C::23NP_C2
YDR513W	YDR513W::27NP_H7
YDR514C	YDR514C::27NP_H8
YDR515W	YDR515W::39NP_E9
YDR516C	YDR516C::37NP_H2
YDR517W	YDR517W::27NP_H9
YDR518W	YDR518W::44NP_E5
YDR519W	YDR519W::27NP_H11
YDR520C	YDR520C::27NP_H12
YDR522C	YDR522C::28NP_A1
YDR523C	YDR523C::28NP_A2
YDR524C	YDR524C::28NP_A3
YDR525W-A	YDR525W-A::22NP_F8
YDR527W	YDR527W::3EP_E6
YDR528W	YDR528W::28NP_A4
YDR529C	YDR529C::28NP_A5
YDR530C	YDR530C::37NP_H3
YDR531W	YDR531W::3EP_E7
YDR532C	YDR532C::28NP_A6
YDR533C	YDR533C::28NP_A7
YDR534C	YDR534C::28NP_A8
YDR536W	YDR536W::22NP_F9
YDR538W	YDR538W::22NP_F10
YDR539W	YDR539W::22NP_F11
YDR541C	YDR541C::22NP_F12
YEL001C	YEL001C::18NP_E2
YEL002C	YEL002C::3EP_E8
YEL003W	YEL003W::18NP_E3
YEL004W	YEL004W::18NP_E4
YEL006W	YEL006W::18NP_E6
YEL009C	YEL009C::18NP_E7
YEL011W	YEL011W::31NP_A12
YEL012W	YEL012W::3NP_B5
YEL013W	YEL013W::18NP_E8
YEL015W	YEL015W::18NP_E9
YEL016C	YEL016C::18NP_E10
YEL017C-A	YEL017C-A::18NP_E11
YEL017W	YEL017W::18NP_E12
YEL018W	YEL018W::18NP_F1
YEL019C	YEL019C::3EP_E9
YEL020C	YEL020C::18NP_F2
YEL023C	YEL023C::39NP_H7
YEL026W	YEL026W::3EP_E10
YEL027W	YEL027W::18NP_F5
YEL029C	YEL029C::18NP_F6
YEL031W	YEL031W::18NP_F7
YEL032W	YEL032W::3EP_E11
YEL034W	YEL034W::3EP_E12
YEL035C	YEL035C::3EP_F1
YEL036C	YEL036C::18NP_F8
YEL037C	YEL037C::18NP_F9
YEL039C	YEL039C::18NP_F10
YEL040W	YEL040W::18NP_F11
YEL041W	YEL041W::44NP_E6
YEL042W	YEL042W::37NP_H4
YEL044W	YEL044W::18NP_G2
YEL046C	YEL046C::47NP_E6
YEL048C	YEL048C::18NP_G4
YEL049W	YEL049W::18NP_G5
YEL050C	YEL050C::18NP_G6
YEL051W	YEL051W::18NP_G7
YEL052W	YEL052W::18NP_G8
YEL053C	YEL053C::18NP_G9
YEL054C	YEL054C::18NP_G10
YEL055C	YEL055C::3EP_F2
YEL056W	YEL056W::18NP_G11
YEL057C	YEL057C::18NP_G12
YEL058W	YEL058W::3EP_F3
YEL059C-A	YEL059C-A::43NP_C12
YEL060C	YEL060C::18NP_H1
YEL061C	YEL061C::47NP_E7
YEL062W	YEL062W::18NP_H2
YEL063C	YEL063C::18NP_H3
YEL064C	YEL064C::18NP_H4
YEL065W	YEL065W::18NP_H5
YEL066W	YEL066W::18NP_H6
YEL072W	YEL072W::18NP_H8
YER001W	YER001W::18NP_H9
YER003C	YER003C::3EP_F4
YER004W	YER004W::47NP_E8
YER005W	YER005W::18NP_H10
YER006W	YER006W::3EP_F5
YER007C-A	YER007C-A::18NP_H11
YER007W	YER007W::18NP_H12
YER007W	YER007W::44NP_E7
YER008C	YER008C::3EP_F6
YER009W	YER009W::3EP_F7
YER010C	YER010C::19NP_A1
YER011W	YER011W::19NP_A2
YER012W	YER012W::3EP_F8
YER013W	YER013W::3EP_F9
YER014C-A	YER014C-A::37NP_H5
YER016W	YER016W::37NP_H6
YER016W	YER016W::44NP_E8
YER017C	YER017C::37NP_H7
YER018C	YER018C::3EP_F10
YER019C-A	YER019C-A::28NP_A9
YER019W	YER019W::37NP_H8
YER020W	YER020W::37NP_H9
YER021W	YER021W::3EP_F11
YER022W	YER022W::3EP_F12
YER023W	YER023W::3EP_G1
YER024W	YER024W::28NP_A10
YER025W	YER025W::3EP_G2
YER026C	YER026C::43NP_D1
YER027C	YER027C::2NP_A8
YER028C	YER028C::28NP_A11
YER029C	YER029C::11EP_F11
YER030W	YER030W::28NP_A12
YER031C	YER031C::3NP_B6
YER032W	YER032W::28NP_B1
YER033C	YER033C::28NP_B2
YER034W	YER034W::28NP_B3
YER035W	YER035W::28NP_B4
YER036C	YER036C::3EP_G3
YER037W	YER037W::2NP_A9
YER038C	YER038C::3EP_G4
YER039C	YER039C::28NP_B5
YER039C-A	YER039C-A::22NP_G1
YER040W	YER040W::28NP_B6
YER041W	YER041W::28NP_B7
YER042W	YER042W::28NP_B8
YER043C	YER043C::3EP_G5
YER044C	YER044C::28NP_B9
YER044C-A	YER044C-A::28NP_B10
YER045C	YER045C::28NP_B11
YER046W	YER046W::3NP_B7
YER047C	YER047C::28NP_B12
YER048C	YER048C::28NP_C1
YER048W-A	YER048W-A::3EP_G6
YER049W	YER049W::46NP_B12
YER050C	YER050C::28NP_C3
YER051W	YER051W::28NP_C4
YER052C	YER052C::28NP_C5
YER053C	YER053C::28NP_C6
YER053C-A	YER053C-A::43NP_D3
YER054C	YER054C::28NP_C7
YER055C	YER055C::28NP_C8
YER056C-A	YER056C-A::28NP_C10
YER057C	YER057C::28NP_C11
YER058W	YER058W::28NP_C12
YER059W	YER059W::28NP_D1
YER060W	YER060W::28NP_D2
YER060W-A	YER060W-A::28NP_D3
YER061C	YER061C::28NP_D4
YER062C	YER062C::28NP_D5
YER063W	YER063W::3NP_B8
YER065C	YER065C::28NP_D6
YER066W	YER066W::3NP_B9
YER067W	YER067W::28NP_D7
YER068W	YER068W::28NP_D8
YER069W	YER069W::28NP_D9
YER070W	YER070W::28NP_D10
YER071C	YER071C::28NP_D11
YER072W	YER072W::28NP_D12
YER073W	YER073W::28NP_E1
YER074W	YER074W::28NP_E2
YER074W-A	YER074W-A::11EP_F12
YER075C	YER075C::28NP_E3
YER076C	YER076C::43NP_D5
YER077C	YER077C::31NP_B1
YER078C	YER078C::31NP_B2
YER079W	YER079W::28NP_E4
YER080W	YER080W::28NP_E5
YER081W	YER081W::28NP_E6
YER082C	YER082C::3EP_G7
YER083C	YER083C::28NP_E7
YER085C	YER085C::28NP_E8
YER086W	YER086W::28NP_E9
YER087C-B	YER087C-B::43NP_D7
YER087W	YER087W::28NP_E10
YER088C	YER088C::31NP_B3
YER089C	YER089C::45NP_H9
YER091C	YER091C::45NP_G12
YER092W	YER092W::31NP_B5
YER093C	YER093C::12EP_A5
YER094C	YER094C::3EP_G9
YER096W	YER096W::31NP_B7
YER098W	YER098W::31NP_B8
YER099C	YER099C::43NP_D8
YER101C	YER101C::21NP_H3
YER103W	YER103W::21NP_H4
YER104W	YER104W::3EP_G10
YER106W	YER106W::21NP_H5
YER107C	YER107C::21NP_H6
YER109C	YER109C::21NP_H7
YER109C	YER109C::44NP_B1
YER110C	YER110C::21NP_H8
YER111C	YER111C::39NP_B10
YER112W	YER112W::3EP_G11
YER113C	YER113C::21NP_H9
YER114C	YER114C::21NP_H10
YER115C	YER115C::21NP_H11
YER116C	YER116C::21NP_H12
YER117W	YER117W::22NP_A1
YER118C	YER118C::22NP_A2
YER119C	YER119C::22NP_A3
YER120W	YER120W::22NP_A4
YER122C	YER122C::22NP_A5
YER123W	YER123W::22NP_A6
YER124C	YER124C::22NP_A7
YER125W	YER125W::12EP_D4
YER126C	YER126C::3EP_H1
YER127W	YER127W::3EP_H2
YER128W	YER128W::22NP_A8
YER129W	YER129W::45NP_G11
YER130C	YER130C::22NP_A10
YER131W	YER131W::22NP_A11
YER132C	YER132C::22NP_A12
YER133W	YER133W::3EP_H3
YER134C	YER134C::22NP_B1
YER136W	YER136W::3EP_H4
YER137C	YER137C::22NP_B2
YER140W	YER140W::22NP_B3
YER141W	YER141W::22NP_B4
YER142C	YER142C::22NP_B5
YER143W	YER143W::22NP_B6
YER144C	YER144C::22NP_G2
YER145C	YER145C::22NP_B7
YER146W	YER146W::3EP_H5
YER147C	YER147C::3EP_H6
YER148W	YER148W::3EP_H7
YER149C	YER149C::22NP_B8
YER150W	YER150W::22NP_B9
YER151C	YER151C::22NP_B10
YER152C	YER152C::22NP_B11
YER153C	YER153C::22NP_B12
YER154W	YER154W::22NP_C1
YER156C	YER156C::22NP_C3
YER157W	YER157W::3EP_H8
YER158C	YER158C::22NP_C4
YER159C	YER159C::3EP_H9
YER161C	YER161C::22NP_C5
YER163C	YER163C::22NP_C7
YER164W	YER164W::22NP_C8
YER165W	YER165W::3EP_H10
YER167W	YER167W::22NP_C10
YER168C	YER168C::3EP_H11
YER169W	YER169W::22NP_C11
YER170W	YER170W::22NP_C12
YER171W	YER171W::3EP_H12
YER172C	YER172C::4EP_A1
YER173W	YER173W::22NP_D1
YER174C	YER174C::22NP_D2
YER175C	YER175C::22NP_D3
YER175W-A	YER175W-A::43NP_D9
YER176W	YER176W::22NP_D4
YER177W	YER177W::22NP_D5
YER178W	YER178W::22NP_D6
YER179W	YER179W::22NP_D7
YER180C	YER180C::22NP_D8
YER180C-A	YER180C-A::43NP_D10
YER182W	YER182W::22NP_D9
YER183C	YER183C::22NP_D10
YER184C	YER184C::22NP_D11
YER185W	YER185W::22NP_D12
YER186C	YER186C::22NP_E1
YER187W	YER187W::22NP_E2
YFL001W	YFL001W::39NP_E10
YFL002C	YFL002C::4EP_A2
YFL004W	YFL004W::39NP_E11
YFL005W	YFL005W::4EP_A3
YFL008W	YFL008W::4EP_A4
YFL009W	YFL009W::4EP_A5
YFL010C	YFL010C::23NP_C5
YFL010W-A	YFL010W-A::44NP_B12
YFL012W	YFL012W::23NP_C7
YFL013C	YFL013C::23NP_C8
YFL014W	YFL014W::17NP_D12
YFL016C	YFL016C::45NP_H10
YFL017C	YFL017C::4EP_A6
YFL018C	YFL018C::37NP_H10
YFL021W	YFL021W::37NP_H11
YFL022C	YFL022C::4EP_A7
YFL024C	YFL024C::4EP_A8
YFL026W	YFL026W::18NP_B10
YFL027C	YFL027C::46NP_C1
YFL028C	YFL028C::6NP_F7
YFL029C	YFL029C::4EP_A9
YFL030W	YFL030W::6NP_F8
YFL034C-A	YFL034C-A::22NP_G3
YFL034W	YFL034W::42NP_D2
YFL036W	YFL036W::37NP_H12
YFL037W	YFL037W::4EP_A10
YFL038C	YFL038C::4EP_A11
YFL039C	YFL039C::4EP_A12
YFL040W	YFL040W::39NP_H8
YFL041W-A	YFL041W-A::43NP_D11
YFL042C	YFL042C::17NP_E1
YFL044C	YFL044C::38NP_A1
YFL045C	YFL045C::4EP_B1
YFL046W	YFL046W::6NP_F11
YFL047W	YFL047W::6NP_F12
YFL048C	YFL048C::38NP_A2
YFL049W	YFL049W::6NP_G1
YFL050C	YFL050C::6NP_G2
YFL051C	YFL051C::6NP_G3
YFL052W	YFL052W::6NP_G4
YFL053W	YFL053W::6NP_G5
YFL054C	YFL054C::6NP_G6
YFL055W	YFL055W::6NP_G7
YFL056C	YFL056C::6NP_G8
YFL060C	YFL060C::3NP_E3
YFR001W	YFR001W::6NP_G9
YFR002W	YFR002W::4EP_B2
YFR003C	YFR003C::4EP_B3
YFR004W	YFR004W::4EP_B4
YFR005C	YFR005C::4EP_B5
YFR006W	YFR006W::6NP_G10
YFR008W	YFR008W::47NP_E12
YFR009W	YFR009W::6NP_G11
YFR010W	YFR010W::42NP_D3
YFR011C	YFR011C::18NP_B11
YFR012W-A	YFR012W-A::43NP_E1
