,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
64,gs_ind_0,fermentative_growth,76/245,0.16548390711710345,0.4517973337165364,1.1151555318602906,2.0060324628037125,EFT1;SKN1;CDC25;SAK1;COX6;NCA3;APN1;TRX2;GRX1;ZWF1;TPS3;POR1;REF2;CYC7;TDH1;HPT1;FBA1;SOD2;MSS51;PMA1;TIF2;CYR1;POR2;YME1;TOM70;UTR1;ICL2;HAP4;MSH2;HXT14;PCK1;CTT1;HCM1;PYC2;MSN2;YEF1;CIT2;RPS22A;HXT4;RAS1;DBF2;TPO4;PET111;MNN10;IDP2;SUN4;CDC21;IRA1;MAF1;TOM40;PDR1;CYB2;CYT1;MDH1;SWI1;SSA3;AFT2;HSP12;TPS2;AMD1;PDC1;HMG1;EFT2;TDH3;ADH1;XPT1;RSF1;OM45;SPR1;SHM2;PDA1;SNF3;USV1;CRZ1;NOT5;GTS1
65,gs_ind_0,fermentative_metabolism,25/96,0.7115436935398675,0.8555607320100003,0.9384643911443002,0.3193767496783066,NCA3;APN1;TRX2;CYC7;PMA1;SOD2;CYR1;TOM70;HAP4;PCK1;CTT1;IDP2;CDC21;TOM40;CYB2;HSP12;AMD1;PDC1;AAD6;ADH1;PDA1;HXT4;SNF3;MSN2;GTS1
66,gs_ind_0,filamentous_growth,35/106,0.15162135776209937,0.42745283890122904,1.1907885745524123,2.2462665732370213,HHT2;MEP1;BUD6;IRE1;RAD51;TOP1;CTS1;SEC1;UBI4;KEX2;CYR1;YPS1;IME2;MYO2;SFL1;RAS1;PKC1;RIM101;SEC15;XRN1;RSR1;TUB2;CLB2;CDC24;SWI1;ATG8;VPS34;SOK2;PRR2;BUD4;FAR1;CLA4;ADH1;MSN2;CRZ1
67,gs_ind_0,flocculation,37/103,0.0493268746692961,0.385646474687224,1.2973544028806951,3.904110728760792,HHT2;MNN1;TDA9;CDC25;MNN5;FPR3;FLO10;ADH4;CYC7;UBI4;ZAP1;RLM1;TFC4;VHS3;SED1;PDE2;ATG29;CTT1;SIS2;AQY2;SFL1;ARG3;PKC1;RIM101;VTH1;HIR2;AFT2;RNT1;HSP12;IRR1;PSA1;RRP6;TDH3;IRA1;ZDS1;GSF2;GTS1
68,gs_ind_0,freeze-thaw_resistance,5/14,0.35415298600184963,0.6549926192722381,1.350429827103255,1.4017816705678958,ROM2;PDE2;CTT1;AQY2;SLI1
69,gs_ind_0,gamma_ray_resistance,11/27,0.10788825946754566,0.3948251197535714,1.4916328544796578,3.32135805129736,RAD54;RAD61;RAD2;RAD51;PSO2;HMO1;SRS2;RPL28;SWI1;RAD55;TRP5
70,gs_ind_0,growth_in_exponential_phase,73/233,0.14691091714612484,0.4223555917878369,1.1268231415623264,2.161166647779117,HHT2;VAM3;CDC25;RAD51;APN1;TRX2;GRX1;GTS1;GIS1;TSA1;POR1;TRP5;TDH1;FBA1;SOD2;RAD7;PMA1;UBI4;TIF2;CYR1;QDR2;RAD2;ALG9;FAA4;PDE2;DCS1;HAP4;YAK1;MSH2;PCK1;GAS1;CTT1;HCM1;YEF3;AQY2;PYC2;SSZ1;HXT4;RAS1;SWI6;CAT5;PPQ1;GAC1;RPS15;SNQ2;ADO1;SSA1;SNO3;VAM7;SSA2;HHF2;PDR1;SAM1;SSA3;HSP12;PDE1;CDC33;VPS34;SOK2;DGA1;URA8;ARF2;PSO2;TDH3;ADH1;TEF2;SHM2;PDA1;SIR3;SNF3;MSN2;INO1;SLI1
71,gs_ind_0,haploinsufficient,6/18,0.3945221962284558,0.6685521804634171,1.2507657838054314,1.1633120852006502,VMA1;RSC2;SPC97;EST2;RSC1;DOM34
72,gs_ind_0,heat_sensitivity,90/249,0.002752077371188887,0.0628329454041812,1.3124462751178614,7.7373947791381275,ROM2;ZWF1;GIS1;SOD2;PSR2;FHL1;MOT3;RLM1;HSP31;GAS1;OXA1;TKL1;PKC1;KOG1;CUR1;MNN10;POF1;SNQ2;HTA2;HSP12;TPS2;RPB5;ELP4;GRX1;PMR1;GTT2;ARR1;PDE2;PPH21;SSK2;CTT1;CLN2;NIP100;RLF2;XRN1;EST3;VAM7;NMA111;YDJ1;CRS5;PDE1;ADH1;MET18;KAP123;MSN2;CRZ1;APJ1;GGC1;CDA1;VPS16;RAD51;ZAP1;CAJ1;RCK2;CDA2;DAK1;ORC2;HTA1;YAK1;SSZ1;RAS1;SWI6;AIM45;SSA1;HSP78;EST2;SIR3;AGE1;HHT2;FPR3;NCA3;SEC59;MPT5;PMA1;UBI4;NEW1;CYR1;YPS1;GSC2;SGS1;SFL1;RPE1;OYE2;SUN4;PDR1;SWI1;SSA3;HYR1;PDC1;MKK2
73,gs_ind_0,hydrostatic_pressure_resistance,2/8,0.7055956324577465,0.8555607320100003,1.0460255958670894,0.36476268609711554,HSP12;MSN2
