,Chromosome,MEAN RG,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,Retrotransposon,snoRNA,tRNA,rRNA,snRNA,Total Features,Chr length,verified & uncharacterized,total genes,model2,model2-,model2_2,model2_2-,model2_neg,model2_neg-,model2_pos,model2_pos-,model2_T,model2_T-,model2_NB,model2_NB-,Nb toxic,model2-/nb genes,model2_T/nb genes
16,5,76.1135576,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-156.9546096810734,156.9546096810734,-201.42080136593512,201.42080136593512,-201.42080136593512,201.42080136593512,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,3.0115091941392635,-3.0115091941392635,76,0.5526570763418077,2.1048173536212196
17,5,81.55019917,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-156.9546096810734,156.9546096810734,-201.42080136593512,201.42080136593512,-201.42080136593512,201.42080136593512,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,3.0115091941392635,-3.0115091941392635,76,0.5526570763418077,2.1048173536212196
18,5,82.48989591,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-156.9546096810734,156.9546096810734,-201.42080136593512,201.42080136593512,-201.42080136593512,201.42080136593512,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,3.0115091941392635,-3.0115091941392635,76,0.5526570763418077,2.1048173536212196
19,5,74.76841063,251,51,33,24,34,3.0,3.0,5.0,20.0,0.0,1.0,425.0,567805,284,335,-156.9546096810734,156.9546096810734,-201.42080136593512,201.42080136593512,-201.42080136593512,201.42080136593512,44.46619168486171,-44.46619168486171,-159.9661188752127,159.9661188752127,3.0115091941392635,-3.0115091941392635,76,0.5526570763418077,2.1048173536212196
20,7,71.42857143,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-321.56040808013574,321.56040808013574,-405.73594479425543,405.73594479425543,-405.73594479425543,405.73594479425543,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,18.423539385156648,-18.423539385156648,150,0.6256039067706921,2.2665596497686162
21,7,66.66666667,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-321.56040808013574,321.56040808013574,-405.73594479425543,405.73594479425543,-405.73594479425543,405.73594479425543,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,18.423539385156648,-18.423539385156648,150,0.6256039067706921,2.2665596497686162
22,7,72.70369481,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-321.56040808013574,321.56040808013574,-405.73594479425543,405.73594479425543,-405.73594479425543,405.73594479425543,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,18.423539385156648,-18.423539385156648,150,0.6256039067706921,2.2665596497686162
23,7,72.72727273,463,41,51,29,70,2.0,3.0,6.0,37.0,0.0,2.0,704.0,1071065,514,555,-321.56040808013574,321.56040808013574,-405.73594479425543,405.73594479425543,-405.73594479425543,405.73594479425543,84.17553671411969,-84.17553671411969,-339.98394746529243,339.98394746529243,18.423539385156648,-18.423539385156648,150,0.6256039067706921,2.2665596497686162
24,8,90.71165188,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-171.61010250994448,171.61010250994448,-200.8236438739666,200.8236438739666,-200.8236438739666,200.8236438739666,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-14.117073174729422,14.117073174729422,74,0.6309194945218547,2.128284180205609
25,8,89.9033759,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-171.61010250994448,171.61010250994448,-200.8236438739666,200.8236438739666,-200.8236438739666,200.8236438739666,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-14.117073174729422,14.117073174729422,74,0.6309194945218547,2.128284180205609
26,8,83.70998235,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-171.61010250994448,171.61010250994448,-200.8236438739666,200.8236438739666,-200.8236438739666,200.8236438739666,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-14.117073174729422,14.117073174729422,74,0.6309194945218547,2.128284180205609
27,8,85.9487193,236,24,36,15,19,2.0,1.0,2.0,11.0,0.0,0.0,346.0,534968,272,296,-171.61010250994448,171.61010250994448,-200.8236438739666,200.8236438739666,-200.8236438739666,200.8236438739666,29.213541364022127,-29.213541364022127,-157.49302933521506,157.49302933521506,-14.117073174729422,14.117073174729422,74,0.6309194945218547,2.128284180205609
28,9,89.64986993,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233,-149.44020850556066,149.44020850556066,-183.812841084151,183.812841084151,-183.812841084151,183.812841084151,34.37263257859032,-34.37263257859032,-156.31061706441687,156.31061706441687,6.870408558856213,-6.870408558856213,70,0.7184625408921186,2.2330088152059555
29,9,92.0402984,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233,-149.44020850556066,149.44020850556066,-183.812841084151,183.812841084151,-183.812841084151,183.812841084151,34.37263257859032,-34.37263257859032,-156.31061706441687,156.31061706441687,6.870408558856213,-6.870408558856213,70,0.7184625408921186,2.2330088152059555
30,9,89.50794003,180,25,28,16,6,2.0,0.0,1.0,10.0,0.0,0.0,268.0,430085,208,233,-149.44020850556066,149.44020850556066,-183.812841084151,183.812841084151,-183.812841084151,183.812841084151,34.37263257859032,-34.37263257859032,-156.31061706441687,156.31061706441687,6.870408558856213,-6.870408558856213,70,0.7184625408921186,2.2330088152059555
